SALEKEY,SALEDT,ADDRESS,PRICE,SALEVAL,parcelId,lat,lng
 329467,2011/01/19 00:00:00.000000000,3975 LEMONS MILL PIKE, 525000,12,20123370,-84.480131,38.17938812
 329413,2011/01/19 00:00:00.000000000,4549 PARSONS LN, 160000,14,38115250,-84.40847716,37.982904
 329491,2011/01/19 00:00:00.000000000,1419 HIGHLAWN AVE, 24000,14,42889650,-84.47027208,38.06116996
 329619,2011/01/20 00:00:00.000000000,2212 AZALEA DR, 85000,14,15532200,-84.55050055,38.02137796
 329643,2011/01/20 00:00:00.000000000,1620 PINTAIL DR, 205000,14,20073030,-84.48568583,38.08820614
 329581,2011/01/21 00:00:00.000000000,574 BENTON RD, 40000,12,10159425,-84.46444815,38.08013725
 329470,2011/01/21 00:00:00.000000000,208 RADCLIFFE RD, 60000,14,10653850,-84.46668316,38.08618209
 329749,2011/01/24 00:00:00.000000000,3676 CLAREDON DR, 55500,12,10967409,-84.48454706,37.97201365
 329868,2011/01/24 00:00:00.000000000,913 N LIMESTONE, 38000,14,11410950,-84.47946791,38.05912551
 329985,2011/01/24 00:00:00.000000000,424 HEDGEWOOD DR, 56767,14,12286800,-84.44661704,38.01514318
 329852,2011/01/24 00:00:00.000000000,427 BRECKENRIDGE ST, 50000,14,16457625,-84.47906507,38.04982925
 329900,2011/01/24 00:00:00.000000000,119 WILTON AVE, 50250,14,22332000,-84.51865426,38.06013181
 330975,2011/01/24 00:00:00.000000000,2776 STONEY PARK LN, 0,14,38032470,-84.55444604,38.08099304
 329850,2011/01/24 00:00:00.000000000,953 WINDING OAK TRL, 130000,14,38129870,-84.5410131,38.10989884
 329780,2011/01/24 00:00:00.000000000,1096 CRESTFIELD LN, 860000,14,38195680,-84.48336002,37.94415616
 329776,2011/01/24 00:00:00.000000000,1089 CRESTFIELD LN, 860000,14,38195800,-84.48328451,37.94338291
 329777,2011/01/24 00:00:00.000000000,1093 CRESTFIELD LN, 860000,14,38195810,-84.48311359,37.943608
 329778,2011/01/24 00:00:00.000000000,1097 CRESTFIELD LN, 860000,14,38195820,-84.482985,37.94386053
 329774,2011/01/24 00:00:00.000000000,5200 TYKES PASS, 860000,14,38195850,-84.4835563,37.94319717
 329775,2011/01/24 00:00:00.000000000,5204 TYKES PASS, 860000,14,38195860,-84.48324495,37.94296071
 329779,2011/01/24 00:00:00.000000000,5397 TATES CREEK RD, 860000,14,38195870,-84.48273428,37.94335996
 329916,2011/01/24 00:00:00.000000000,523 WELLINGTON WAY, 1058867,14,38203750,-84.53864712,37.99936602
 329918,2011/01/24 00:00:00.000000000,523 WELLINGTON WAY, 1058867,14,38203790,-84.53869271,37.99938047
 329522,2011/01/25 00:00:00.000000000,2665 MABLE LN, 115000,14,38023980,-84.54059216,38.08894605
 329919,2011/01/25 00:00:00.000000000,3805 HORSEMINT TRL, 425000,12,38056460,-84.41174334,37.99314494
 329501,2011/01/25 00:00:00.000000000,224 OWSLEY AVE, 42000,12,40029375,-84.47565413,38.03472556
 329726,2011/01/26 00:00:00.000000000,1925 GLENGARRY WAY, 60100,14,12574200,-84.44958585,38.06746507
 330714,2011/01/26 00:00:00.000000000,2149 FORTUNE HILL LN, 75500,12,19992540,-84.44902612,38.02876581
 329928,2011/01/27 00:00:00.000000000,1281 VILLAGE DR, 10050,14,10004730,-84.55085991,38.05029388
 334935,2011/01/27 00:00:00.000000000,1259 TRENT BLVD, 66767,14,10839466,-84.48289059,37.97103048
 329872,2011/01/27 00:00:00.000000000,2051 CUMMINS CT, 450000,12,14340910,-84.54984192,38.05058363
 329871,2011/01/27 00:00:00.000000000,2035 CUMMINS CT, 450000,12,14340911,-84.54922808,38.05074483
 329869,2011/01/27 00:00:00.000000000,2027 CUMMINS CT, 450000,12,14340912,-84.54856381,38.05073194
 329870,2011/01/27 00:00:00.000000000,2034 CUMMINS CT, 450000,12,14340913,-84.54863138,38.05026305
 330579,2011/01/27 00:00:00.000000000,4669 SPRING CREEK DR, 140500,14,20075040,-84.48517137,37.95924291
 329867,2011/01/27 00:00:00.000000000,366 SIERRA DR, 85000,14,21621700,-84.45429123,38.06379093
 331397,2011/01/27 00:00:00.000000000,3477 IPSWICH CT, 90000,14,26293950,-84.5555929,37.98900003
 329923,2011/01/27 00:00:00.000000000,3097 PRICHARD DR, 120000,14,38128070,-84.54116487,38.10723215
 330152,2011/01/27 00:00:00.000000000,2437 ARISTOCRACY CIR, 145500,12,38218120,-84.42604952,38.02786863
 329738,2011/01/28 00:00:00.000000000,2092 MANOR DR, 240000,12,11184300,-84.47298069,38.01076224
 346894,2011/01/28 00:00:00.000000000,1724 BENWOOD DR, 0,14,12176350,-84.45849779,38.03683864
 331368,2011/01/28 00:00:00.000000000,915 DELAWARE AVE, 50000,14,12284600,-84.47301298,38.04062379
 329697,2011/01/28 00:00:00.000000000,1020 CLAIBORNE WAY, 102000,12,13617300,-84.48915952,37.9869554
 329740,2011/01/28 00:00:00.000000000,1702 KNOXVILLE CT, 97500,12,13648375,-84.43557051,38.05360242
 330172,2011/01/28 00:00:00.000000000,416 SHAWNEE AVE, 47000,14,14570500,-84.4685629,38.05793385
 329650,2011/01/28 00:00:00.000000000,666 HEADLEY AVE, 11100,12,16826900,-84.48846446,38.05875458
 329744,2011/01/28 00:00:00.000000000,233 DEVONIA AVE, 25000,12,17142500,-84.47397302,38.05819895
 329739,2011/01/28 00:00:00.000000000,3583 HUNTERS GREEN WAY, 205000,12,19317840,-84.41808703,37.99828985
 329735,2011/01/28 00:00:00.000000000,236 MASTERSON STATION DR, 160000,12,19962510,-84.54907617,38.09232763
 329737,2011/01/28 00:00:00.000000000,4429 COPPERFIELD DR, 210000,12,20086710,-84.57192887,37.9835906
 336980,2011/01/28 00:00:00.000000000,740 SHROPSHIRE AVE, 46000,14,38098160,-84.47563955,38.05065777
 330274,2011/01/28 00:00:00.000000000,4549 PARSONS LN, 200000,12,38115250,-84.40847716,37.982904
 329789,2011/01/28 00:00:00.000000000,381 SCOTTSDALE CIR, 68500,12,38123050,-84.47850602,38.07598599
 329736,2011/01/28 00:00:00.000000000,1069 BRICK HOUSE LN, 180000,12,38154330,-84.39846294,38.00161653
 330254,2011/01/31 00:00:00.000000000,3685 NILES DR, 55000,12,10424800,-84.48530712,37.97437927
 331563,2011/01/31 00:00:00.000000000,4761 MT HOREB PIKE, 788740,12,19961570,-84.46615703,38.16553627
 330040,2011/01/31 00:00:00.000000000,1117 BRICK HOUSE LN, 160000,12,38154380,-84.39860224,38.00118471
 330009,2011/02/01 00:00:00.000000000,204 RUGBY RD, 79200,14,10433800,-84.53964942,38.05395182
 330398,2011/02/01 00:00:00.000000000,1068 TANBARK RD, 150000,14,20053580,-84.49322616,37.96510279
 331460,2011/02/01 00:00:00.000000000,1849 HAVERWOOD PARK, 165000,14,20118270,-84.57014243,37.98575288
 331526,2011/02/01 00:00:00.000000000,3109 SANDERSVILLE RD, 124000,14,38109050,-84.53618886,38.10708465
 329940,2011/02/01 00:00:00.000000000,1672 KONNER WOODS DR, 89000,14,38147850,-84.51250894,38.08571622
 331700,2011/02/01 00:00:00.000000000,3201 MATHERN TRL, 126000,14,38198170,-84.39203281,38.01792946
 330256,2011/02/02 00:00:00.000000000,914 BYARS AVE, 18000,14,13559200,-84.46999803,38.04314057
 330613,2011/02/02 00:00:00.000000000,305 TURFWAY DR, 60000,14,19318130,-84.44442566,38.06843357
 331405,2011/02/02 00:00:00.000000000,627 ADDISON AVE, 30100,14,20637000,-84.52656482,38.04030311
 331045,2011/02/02 00:00:00.000000000,916 WINDING OAK TRL, 140000,14,38127140,-84.53911586,38.10979376
 331288,2011/02/03 00:00:00.000000000,462 BRECKENRIDGE ST, 43334,14,16410200,-84.47887094,38.04881008
 329785,2011/02/03 00:00:00.000000000,3945 HILLSIDE DR, 129000,12,20062450,-84.55900057,37.97291594
 329896,2011/02/03 00:00:00.000000000,1045 CRESCENT AVE, 165000,12,24175140,-84.5148307,38.03117155
 330082,2011/02/03 00:00:00.000000000,1408 HIGHLAWN AVE, 21001,14,44646400,-84.47037687,38.06031454
 330202,2011/02/04 00:00:00.000000000,1232 SPRING RUN RD, 145000,14,19320880,-84.56568268,37.98413205
 331136,2011/02/04 00:00:00.000000000,3789 NIAGARA DR, 114854,14,20279227,-84.48276281,37.96703138
 330014,2011/02/04 00:00:00.000000000,411 NORTHRIDGE DR, 74000,12,23886300,-84.46301814,38.07288979
 329944,2011/02/04 00:00:00.000000000,2601 WHITEBERRY DR, 158000,12,38030120,-84.55222903,38.08439675
 331155,2011/02/04 00:00:00.000000000,2676 TRAILWOOD LN, 80000,14,38065540,-84.55095299,38.07928805
 330247,2011/02/04 00:00:00.000000000,284 FERNDALE PASS, 99750,14,38103090,-84.54626746,38.08725629
 330246,2011/02/04 00:00:00.000000000,536 HAWKS NEST PT, 185000,14,38165950,-84.5114712,37.95770863
 330197,2011/02/04 00:00:00.000000000,3180 TIBURON WAY, 107000,12,38189500,-84.53298088,38.11207205
 330612,2011/02/07 00:00:00.000000000,189 MONTMULLIN ST, 0,12,10805355,-84.51024616,38.03925664
 330219,2011/02/07 00:00:00.000000000,221 HEDGEWOOD CT, 25000,14,14454150,-84.45009225,38.01366302
 331137,2011/02/07 00:00:00.000000000,550 JEFFERSON ST, 30100,14,14835350,-84.4929516,38.05875639
 329922,2011/02/07 00:00:00.000000000,416 DELCAMP DR, 99900,12,15663900,-84.48821927,38.05858815
 330199,2011/02/08 00:00:00.000000000,106 SHEILA CT, 22000,14,10007020,-84.48919355,38.05516212
 330379,2011/02/08 00:00:00.000000000,764 WHITNEY AVE, 23450,14,10348875,-84.50400157,38.06000296
 330188,2011/02/08 00:00:00.000000000,240 DESHA RD, 196000,14,13759900,-84.48571586,38.0306211
 330015,2011/02/08 00:00:00.000000000,3032 BONANZA DR, 66767,14,20079220,-84.44399388,38.00817726
 330016,2011/02/08 00:00:00.000000000,3887 NORTHAMPTON DR, 67000,12,20968000,-84.51966288,37.97381615
 329921,2011/02/08 00:00:00.000000000,245 ABERDEEN DR, 90200,12,21608900,-84.51817251,37.98497517
 330268,2011/02/08 00:00:00.000000000,336 ATWOOD DR, 109900,12,26078054,-84.52842648,37.96094966
 332505,2011/02/08 00:00:00.000000000,2800 RED LEAF DR, 201900,12,38021520,-84.42983224,38.01839742
 331266,2011/02/08 00:00:00.000000000,500 NEWBURY WAY, 157000,12,38073650,-84.54111764,37.97456613
 331377,2011/02/09 00:00:00.000000000,3436 KENESAW DR, 90000,14,20028670,-84.46456588,37.9689036
 330163,2011/02/09 00:00:00.000000000,3052 NEW RIVER PL, 120000,14,38113050,-84.56406489,38.08473441
 330439,2011/02/09 00:00:00.000000000,201 PRICE RD, 90000,12,38193540,-84.51593469,38.06169481
 330107,2011/02/10 00:00:00.000000000,1148 CENTRE PKWY, 80000,14,12700500,-84.48457188,37.98299757
 336305,2011/02/10 00:00:00.000000000,154 AVON AVE, 39000,14,15574350,-84.47726445,38.05745085
 330283,2011/02/10 00:00:00.000000000,1504 MEADOWVIEW DR, 98706,14,20024740,-84.46743329,37.9704487
 330108,2011/02/10 00:00:00.000000000,3756 CAMELOT DR, 145000,14,23885311,-84.51052161,37.97576248
 330109,2011/02/10 00:00:00.000000000,3760 CAMELOT DR, 145000,14,23885312,-84.51043632,37.97557518
 329989,2011/02/10 00:00:00.000000000,324 ASHMOOR DR, 50000,12,26078094,-84.52572856,37.9615457
 330183,2011/02/11 00:00:00.000000000,2072 SPRING STATION DR, 51000,12,16622400,-84.4487024,38.06629818
 330211,2011/02/11 00:00:00.000000000,3966 NORTHAMPTON DR, 64900,12,25460700,-84.5161583,37.97410576
 330171,2011/02/14 00:00:00.000000000,1228 VENETIAN CIR, 46000,12,11358700,-84.48343644,37.9789099
 330726,2011/02/14 00:00:00.000000000,1148 CENTRE PKWY, 65500,12,12700500,-84.48457188,37.98299757
 330213,2011/02/14 00:00:00.000000000,2325 ALLEN DR, 55000,12,13885600,-84.45453412,38.08660491
 330438,2011/02/14 00:00:00.000000000,2688 PADDOCK CT, 89500,14,15489901,-84.46107453,38.00242896
 330397,2011/02/14 00:00:00.000000000,3696 HURRICANE HALL RD, 143334,14,24559650,-84.52972506,38.13041383
 330157,2011/02/14 00:00:00.000000000,3049 CADDIS LN, 108000,12,38052910,-84.56231508,38.08994166
 331210,2011/02/15 00:00:00.000000000,1118 BRIARWOOD DR, 56000,14,11571000,-84.50372598,38.08158176
 337345,2011/02/15 00:00:00.000000000,212 DERBY DR, 76000,14,12537100,-84.52252852,38.00820429
 331773,2011/02/15 00:00:00.000000000,565 FOLKSTONE DR, 70000,14,15390150,-84.46201763,37.99946894
 330609,2011/02/15 00:00:00.000000000,1946 AUGUSTA DR, 51370,14,16088600,-84.4363071,38.05640744
 337508,2011/02/15 00:00:00.000000000,928 OAK HILL DR, 65000,14,17139400,-84.47147391,38.05306453
 330486,2011/02/15 00:00:00.000000000,1617 BRENTMOOR DR, 100000,12,20034990,-84.46358049,37.96815588
 331575,2011/02/15 00:00:00.000000000,392 PLAINVIEW RD, 160000,14,26805609,-84.45897546,38.0035418
 330095,2011/02/15 00:00:00.000000000,2653 MICHELLE PARK, 115000,12,38102230,-84.54484929,38.0864221
 330752,2011/02/16 00:00:00.000000000,196 E LOUDON AVE, 26000,14,12982200,-84.47938734,38.05486731
 330150,2011/02/16 00:00:00.000000000,251 SIMPSON AVE, 81000,12,19963490,-84.51609181,38.0357788
 330261,2011/02/16 00:00:00.000000000,3178 LEESTOWN RD, 49801,12,22924200,-84.5633809,38.09429874
 330121,2011/02/16 00:00:00.000000000,1741 SHENANDOAH DR, 105000,12,26513100,-84.54620646,38.03987436
 330162,2011/02/17 00:00:00.000000000,809 SEMINOLE CREEK CT, 107000,12,38072060,-84.50672181,38.08538632
 330977,2011/02/18 00:00:00.000000000,2344 HARTLAND PARKSIDE DR, 160000,14,10050520,-84.46632462,37.96290171
 330180,2011/02/18 00:00:00.000000000,208 RADCLIFFE RD, 51500,12,10653850,-84.46668316,38.08618209
 330628,2011/02/18 00:00:00.000000000,224 LONDONDERRY DR, 63334,14,13875800,-84.5377458,38.05489336
 330182,2011/02/18 00:00:00.000000000,1871 BARKSDALE DR, 43000,12,14387875,-84.47117353,38.08821021
 330223,2011/02/18 00:00:00.000000000,3521 FOREST COVE LN, 165500,12,19973900,-84.44096417,37.99149365
 330272,2011/02/18 00:00:00.000000000,920 PALOMINO LN, 130002,14,20084150,-84.56070663,38.0085899
 330154,2011/02/18 00:00:00.000000000,2952 SANDERSVILLE RD, 185000,12,38083870,-84.53999836,38.10042591
 331797,2011/02/18 00:00:00.000000000,4308 TRADITION WAY, 150000,14,38099820,-84.41961781,37.98416708
 330319,2011/02/21 00:00:00.000000000,1017 MARCO LN, 0,14,20139330,-84.40985661,38.00447095
 334958,2011/02/22 00:00:00.000000000,1287 MERMAN DR, 65000,14,14628325,-84.48322131,37.97712986
 330623,2011/02/22 00:00:00.000000000,1616 SQUIRE HART WAY, 94000,12,19994870,-84.46157435,37.97380283
 345509,2011/02/22 00:00:00.000000000,208 GRAYSON CT, 90000,14,20010400,-84.44955155,37.99883077
 345577,2011/02/22 00:00:00.000000000,208 GRAYSON CT, 90000,14,20010400,-84.44955155,37.99883077
 330537,2011/02/22 00:00:00.000000000,2445 CHECKERBERRY DR, 104500,12,38039310,-84.44339681,38.01946634
 330845,2011/02/22 00:00:00.000000000,2517 KNIGHTSBRIDGE LN, 77000,14,38076130,-84.44610655,38.0305587
 334293,2011/02/22 00:00:00.000000000,1089 WINDING OAK TRL, 95000,14,38127330,-84.54241542,38.10679422
 330339,2011/02/23 00:00:00.000000000,627 N MARTIN LUTHER KING BLVD, 170000,12,12872100,-84.48391983,38.05291266
 330231,2011/02/23 00:00:00.000000000,1848 COSTIGAN DR, 22000,12,16247000,-84.47941598,38.08902121
 330312,2011/02/23 00:00:00.000000000,3501 MILDARA CT, 87000,12,20056920,-84.46976904,37.96938268
 330453,2011/02/23 00:00:00.000000000,445 LIN WAL RD, 40200,12,20463250,-84.46308343,38.07450468
 332640,2011/02/24 00:00:00.000000000,1215 GAINESWAY DR, 93000,14,13943000,-84.48126285,37.98949951
 330922,2011/02/24 00:00:00.000000000,569 EUREKA SPRINGS DR, 0,14,17289677,-84.45751837,37.99810599
 330921,2011/02/24 00:00:00.000000000,3416 WOODSPRING DR, 0,14,20039480,-84.46161521,37.96806103
 330273,2011/02/24 00:00:00.000000000,920 PALOMINO LN, 159000,12,20084150,-84.56070663,38.0085899
 330923,2011/02/24 00:00:00.000000000,4672 HARTLAND PKWY, 0,14,20110690,-84.48358081,37.96292738
 330920,2011/02/24 00:00:00.000000000,4070 WINNEPEG WAY, 0,14,26959223,-84.52607322,37.97047167
 331228,2011/02/25 00:00:00.000000000,604 IVY CT, 61334,14,13362575,-84.44172225,38.05922315
 330882,2011/02/25 00:00:00.000000000,232 NEWCASTLE CT, 70000,14,14330000,-84.54490367,38.0564248
 335481,2011/02/25 00:00:00.000000000,115 WABASH DR, 130000,14,17158700,-84.51738855,38.01603545
 330350,2011/02/25 00:00:00.000000000,2352 WALCOT WAY, 122500,12,38168850,-84.51047575,38.10306346
 330306,2011/02/28 00:00:00.000000000,209 SIMPSON AVE, 83000,12,10057090,-84.51580976,38.03537454
 330325,2011/02/28 00:00:00.000000000,488 SEELEY DR, 525000,12,12467300,-84.47233333,38.00812532
 331140,2011/03/01 00:00:00.000000000,1129 IRON LACE CT, 115000,14,19314700,-84.40460678,38.00379295
 331199,2011/03/01 00:00:00.000000000,3813 SUGAR CREEK DR, 0,14,19341750,-84.49973425,37.97706047
 331330,2011/03/01 00:00:00.000000000,3505 GALT CT, 84000,12,20024590,-84.47011708,37.97002206
 330740,2011/03/01 00:00:00.000000000,415 NORTHRIDGE DR, 115000,14,20443900,-84.46323428,38.07309717
 330498,2011/03/02 00:00:00.000000000,3518 GREENTREE RD, 110000,12,13429600,-84.48792202,37.98354142
 331042,2011/03/02 00:00:00.000000000,1713 YETTA DR, 120000,14,20037900,-84.45446248,37.96515392
 330676,2011/03/02 00:00:00.000000000,3012 ARROWHEAD DR, 120000,14,20649000,-84.55565781,38.01045354
 330592,2011/03/02 00:00:00.000000000,156 E LOWRY LN, 76767,14,27274650,-84.51539413,38.0045149
 330820,2011/03/02 00:00:00.000000000,2601 CORONADO RIDGE, 106000,14,38079880,-84.55193474,38.07621132
 331698,2011/03/02 00:00:00.000000000,2576 ROCKAWAY PL, 85000,14,38171120,-84.53613855,38.0982027
 330622,2011/03/02 00:00:00.000000000,523 WELLINGTON WAY, 212000,14,38222160,-84.53863781,37.99927955
 330675,2011/03/03 00:00:00.000000000,335 NELSON AVE, 13334,14,10926950,-84.48152037,38.0438118
 330654,2011/03/03 00:00:00.000000000,1034 KEES RD, 50500,12,14033300,-84.48281423,38.06326772
 330720,2011/03/03 00:00:00.000000000,1211 BEL MAR LN, 505000,14,19346520,-84.44755019,37.90159673
 330860,2011/03/03 00:00:00.000000000,1204 ASPEN ST, 85000,12,19960330,-84.40880658,38.01397622
 330560,2011/03/03 00:00:00.000000000,3317 SQUIRE OAK DR, 110500,14,20032520,-84.45654919,37.97016605
 335606,2011/03/03 00:00:00.000000000,381 PREAKNESS DR, 90000,14,20076780,-84.44326316,38.06827213
 330859,2011/03/03 00:00:00.000000000,128 CLOVER VALLEY DR, 94000,14,38031800,-84.55283997,38.08241443
 330465,2011/03/04 00:00:00.000000000,368 MULBERRY DR, 55500,12,10579950,-84.4507649,38.01963033
 330615,2011/03/04 00:00:00.000000000,303 HILLCREST AVE, 38000,12,12752100,-84.46812303,38.04454901
 330550,2011/03/04 00:00:00.000000000,167 ALABAMA AVE, 21500,14,16745600,-84.48296315,38.05365342
 331087,2011/03/04 00:00:00.000000000,3756 CAMELOT DR, 137500,12,23885311,-84.51052161,37.97576248
 330506,2011/03/04 00:00:00.000000000,2521 BRIDLE CT, 215000,12,38013090,-84.56121407,38.05118889
 330497,2011/03/04 00:00:00.000000000,477 SKYVIEW LN, 124000,12,38027850,-84.54144782,38.09771532
 332943,2011/03/07 00:00:00.000000000,178 ST ANN DR, 87000,14,13762900,-84.46125727,38.020534
 330758,2011/03/07 00:00:00.000000000,269 CASSIDY AVE, 310000,14,17085500,-84.48880369,38.02365762
 330884,2011/03/07 00:00:00.000000000,1309 RED STONE DR, 98100,14,19307920,-84.41138662,38.01580736
 331035,2011/03/07 00:00:00.000000000,2160 SALLEE DR, 275000,14,20065880,-84.56949712,38.00726998
 330678,2011/03/07 00:00:00.000000000,1957 OLD PARIS RD, 90000,14,20081950,-84.45769599,38.07424705
 331252,2011/03/07 00:00:00.000000000,4077 HILLSIDE DR, 115000,14,20089660,-84.55181452,37.97108454
 330741,2011/03/07 00:00:00.000000000,4124 RAINWATER CIR, 190000,14,20127890,-84.50697574,37.96434088
 330829,2011/03/08 00:00:00.000000000,1800 CHARLESTON DR, 73400,14,13324400,-84.43596481,38.05050236
 331292,2011/03/08 00:00:00.000000000,649 TWIN PINES WAY, 116000,14,20132200,-84.54953652,37.97804595
 331541,2011/03/08 00:00:00.000000000,439 HENRY CLAY BLVD, 130000,12,46493700,-84.46832952,38.03442306
 330652,2011/03/09 00:00:00.000000000,1246 BORDEAUX DR, 70100,12,10602799,-84.55500962,38.05313454
