ID,Date,Address,Suite,PermitType,ConstructionCost,OwnerName,Contractor,CleanAddress,MatchType,MatchAddress,parcelId,lat,lng,MatchAddress_1,parcelId_1,lat_1,lng_1,Benchmark,Format,Geocoderinput
173926,2013/01/18 00:00:00.000000000,4385 EVANGELINE LN                                ,                                                  ,"MECHANICAL, SINGLE FAMILY                         ",0,"BALL HOMES, INC                                   ",STIVERS HVAC INC                                  ,4385 EVANGELINE LN,,,,,,,,,,4,json,4385 EVANGELINE LN LEXINGTON KY
185287,2014/09/17 00:00:00.000000000,1655 WHARTON WAY                                  ,                                                  ,"MECHANICAL, SINGLE FAMILY                         ",4112,RML CONSTRUCTION                                  ,STIVERS HVAC INC                                  ,1655 WHARTON WAY,,,,,,,,,,4,json,1655 WHARTON WAY LEXINGTON KY
166269,2011/10/31 00:00:00.000000000,740-742 LIBERTY RIDGE LN                          ,                                                  ,DUPLEX                                            ,160000,LIBERTY RIDGE SENIOR LIVING                       ,HARGETT CORPORATION                               ,740 LIBERTY RIDGE LN,,,,,,,,,,4,json,740 LIBERTY RIDGE LN LEXINGTON KY
175446,2013/04/12 00:00:00.000000000,4288 EVANGELINE LN                                ,                                                  ,"MECHANICAL, SINGLE FAMILY                         ",0,BALL HOMES                                        ,STIVERS HVAC INC                                  ,4288 EVANGELINE LN,,,,,,,,,,4,json,4288 EVANGELINE LN LEXINGTON KY
164039,2011/06/15 00:00:00.000000000,3741 SLEEPY HOLLOW LN                             ,                                                  ,"FENCE, RESIDENTIAL                                ",17000,GREG & CAIL CARMEN                                ,BORDERS FENCING                                   ,3741 SLEEPY HOLLOW LN,,,,,,,,,,4,json,3741 SLEEPY HOLLOW LN LEXINGTON KY
185951,2014/10/23 00:00:00.000000000,620 EUCLID AVE                                    ,                                                  ,"MECHANICAL COMM. $10,001-$25,000                  ",19000,THE ASHLAND BUILDING                              ,CLIMATE CONTROL CORPORATION                       ,620 EUCLID AVE,,,,,,,,,,4,json,620 EUCLID AVE LEXINGTON KY
186853,2014/12/22 00:00:00.000000000,855 GLASFORD SQ                                   ,#101                                              ,"MECHANICAL, SINGLE FAMILY                         ",2407.67,RML CONSTRUCTION LLP                              ,STIVERS HVAC INC                                  ,855 GLASFORD SQ,,,,,,,,,,4,json,855 GLASFORD SQ LEXINGTON KY
187371,2015/02/02 00:00:00.000000000,875 GLASFORD SQ                                   ,#104                                              ,"MECHANICAL, SINGLE FAMILY                         ",3728.92,RML CONSTRUCTION LLP                              ,STIVERS HVAC INC                                  ,875 GLASFORD SQ,,,,,,,,,,4,json,875 GLASFORD SQ LEXINGTON KY
184308,2014/07/25 00:00:00.000000000,381 PINEWOOD CT                                   ,                                                  ,ZONING COMPLIANCE HOME OFFICE (N/C)               ,0,WARRIOR SOAPS                                     ,WARRIOR SOAPS                                     ,381 PINEWOOD CT,,,,,,,,,,4,json,381 PINEWOOD CT LEXINGTON KY
175841,2013/05/02 00:00:00.000000000,713 E LOUDON AVE                                  ,                                                  ,ZONING COMPLIANCE PERMIT (N/C)                    ,0,OWSLEY MOTOR SPORTS                               ,                                                  ,713 E LOUDON AVE,,,,,,,,,,4,json,713 E LOUDON AVE LEXINGTON KY
172406,2012/10/10 00:00:00.000000000,1103 FERN AVE                                     ,                                                  ,"SINGLE FAMILY RES, 1500 SQ.FT. OR LESS            ",80000,"ANDERSON BURLEY, LLC                              ",HARMONY HOME BUILDERS LLC                         ,1103 FERN AVE,,,,,,,,,,4,json,1103 FERN AVE LEXINGTON KY
171865,2012/09/11 00:00:00.000000000,201 RUCCIO WAY                                    ,                                                  ,TENANT FIT-UP                                     ,40000,"MSJ LEXINGTON, LLC                                ","MSJ LEXINGTON, LLC                                ",201 RUCCIO WAY,,,,,,,,,,4,json,201 RUCCIO WAY LEXINGTON KY
184849,2014/08/26 00:00:00.000000000,4200 BRIDGE WATER WAY                             ,#101                                              ,TOWNHOUSE                                         ,85000,ANDERSON BRIDGEWATER LLC                          ,HARMONY HOME BUILDERS LLC                         ,4200 BRIDGE WATER WAY,,,,,,,,,,4,json,4200 BRIDGE WATER WAY LEXINGTON KY
165874,2011/11/16 00:00:00.000000000,2265 FRANKFORT CT                                 ,                                                  ,GOVERNMENT BLDG/LOCAL                             ,189000,LFUCG                                             ,SENSABAUGH DESIGN & CONSTRUCTION LLC              ,2265 FRANKFORT CT,,,,,,,,,,4,json,2265 FRANKFORT CT LEXINGTON KY
176359,2013/05/28 00:00:00.000000000,3121 B'MONT CTR CIR                               ,                                                  ,ZONING COMPLIANCE PERMIT (N/C)                    ,0,CTRL. KY BLOOD CENTER                             ,CENTRAL KY BLOOD CENTER                           ,3121 B'MONT CTR CIR,,,,,,,,,,4,json,3121 B'MONT CTR CIR LEXINGTON KY
181165,2014/02/21 00:00:00.000000000,228 N UPPER ST                                    ,                                                  ,"MECHANICAL COMM. $2,001-$10,000                   ",0,LARRY HERMAN                                      ,STANLEY FIZER INC                                 ,228 N UPPER ST,,,,,,,,,,4,json,228 N UPPER ST LEXINGTON KY
182044,2014/04/14 00:00:00.000000000,2424 PALUMBO DR                                   ,                                                  ,ZONING COMPLIANCE PERMIT (N/C)                    ,0,"EXCELSIUS GLOBAL USA, LLC                         ","EXCELSIUS GLOBAL USA, LLC                         ",2424 PALUMBO DR,,,,,,,,,,4,json,2424 PALUMBO DR LEXINGTON KY
177169,2013/08/02 00:00:00.000000000,1616 LEESTOWN RD                                  ,                                                  ,COMMERCIAL CANOPY                                 ,360302.04,KROGER                                            ,FRANKLIN PRICE INC                                ,1616 LEESTOWN RD,,,,,,,,,,4,json,1616 LEESTOWN RD LEXINGTON KY
170053,2012/06/14 00:00:00.000000000,451 HAYS BLVD                                     ,                                                  ,"MECHANICAL, SINGLE FAMILY                         ",0,BALL HOMES INC                                    ,STIVERS HVAC INC                                  ,451 HAYS BLVD,,,,,,,,,,4,json,451 HAYS BLVD LEXINGTON KY
173093,2012/11/16 00:00:00.000000000,1624 OLD PARIS RD                                 ,STE 130                                           ,ZONING COMPLIANCE PERMIT (N/C)                    ,0,ZACHARY CONNOLLY                                  ,ZACHARY CONNOLLY                                  ,1624 OLD PARIS RD,,,,,,,,,,4,json,1624 OLD PARIS RD LEXINGTON KY
168081,2012/03/14 00:00:00.000000000,432 HOLLOW CREEK RD                               ,                                                  ,"MECHANICAL, MULTI-FAMILY                          ",0,PADDOCK SUBDIVISION                               ,DISPONETTE SERVICE CO INC                         ,432 HOLLOW CREEK RD,,,,,,,,,,4,json,432 HOLLOW CREEK RD LEXINGTON KY
185187,2014/09/12 00:00:00.000000000,729 LANE ALLEN RD                                 ,                                                  ,ZONING COMPLIANCE PERMIT (N/C)                    ,0,EXPRESS MOBILE                                    ,EXPRESS MOBILE                                    ,729 LANE ALLEN RD,,,,,,,,,,4,json,729 LANE ALLEN RD LEXINGTON KY
169163,2012/05/09 00:00:00.000000000,2433 NICHOLASVILLE RD                             ,                                                  ,"GRADING, COMMERCIAL                               ",0,CFT DEVELOPMENTS LLC                              ,SUPERIOR DEMOLITION INC                           ,2433 NICHOLASVILLE RD,,,,,,,,,,4,json,2433 NICHOLASVILLE RD LEXINGTON KY
169263,2012/05/14 00:00:00.000000000,3454 SQUIRES HILL LN                              ,                                                  ,CO-LOCATE TOWER                                   ,3500,CROWN CASTLE                                      ,"WESTOWER COMMUNICATIONS, INC.                     ",3454 SQUIRES HILL LN,,,,,,,,,,4,json,3454 SQUIRES HILL LN LEXINGTON KY
180524,2014/01/06 00:00:00.000000000,327 RIVIERA RD                                    ,                                                  ,GRADING RESIDENTIAL                               ,0,BRENT RAY HOMES                                   ,BRENT A RAY HOMES                                 ,327 RIVIERA RD,,,,,,,,,,4,json,327 RIVIERA RD LEXINGTON KY
182934,2014/05/21 00:00:00.000000000,2303 WOODHILL DR                                  ,                                                  ,ZONING COMPLIANCE PERMIT (N/C)                    ,0,SLEEP OUTFITTERS                                  ,SLEEP OUTFITTERS                                  ,2303 WOODHILL DR,,,,,,,,,,4,json,2303 WOODHILL DR LEXINGTON KY
183767,2014/06/30 00:00:00.000000000,1641 WHARTON WAY                                  ,                                                  ,TOWNHOUSE                                         ,50000,RML CONSTRUCTION                                  ,R M L CONSTRUCTION LLC                            ,1641 WHARTON WAY,,,,,,,,,,4,json,1641 WHARTON WAY LEXINGTON KY
185725,2014/10/15 00:00:00.000000000,114 TOWNE CENTER DR                               ,A&W HOOD                                          ,"MECHANICAL COMM. $10,001-$25,000                  ",0,A&W REST INC                                      ,BRYANTS SHEET METAL INC                           ,114 TOWNE CENTER DR,,,,,,,,,,4,json,114 TOWNE CENTER DR LEXINGTON KY
186166,2014/11/04 00:00:00.000000000,1685 WHARTON WAY                                  ,                                                  ,"MECHANICAL, SINGLE FAMILY                         ",3728,BALL HOMES INC                                    ,STIVERS HVAC INC                                  ,1685 WHARTON WAY,,,,,,,,,,4,json,1685 WHARTON WAY LEXINGTON KY
162419,2011/03/10 00:00:00.000000000,753 LIBERTY RIDGE LN                              ,                                                  ,"MECHANICAL, SINGLE FAMILY                         ",0,LIBERTY RIDGE SR LIVING                           ,CLIMATE CONTROL CORPORATION                       ,753 LIBERTY RIDGE LN,,,,,,,,,,4,json,753 LIBERTY RIDGE LN LEXINGTON KY
171324,2012/08/15 00:00:00.000000000,273 SOMERSLY PL                                   ,                                                  ,REMODELING RESIDENTIAL                            ,5000,COMMONWEALTH DESIGNS                              ,COMMONWEALTH DESIGNS INC                          ,273 SOMERSLY PL,,,,,,,,,,4,json,273 SOMERSLY PL LEXINGTON KY
185433,2014/09/26 00:00:00.000000000,3273 ALCOTT PL                                    ,                                                  ,TOWNHOUSE                                         ,50000,R M L CONSTRUCTION                                ,R M L CONSTRUCTION LLC                            ,3273 ALCOTT PL,,,,,,,,,,4,json,3273 ALCOTT PL LEXINGTON KY
174467,2013/02/26 00:00:00.000000000,1588 LEESTOWN RD                                  ,Suite 130                                         ,REMODELING COMMERCIAL                             ,20000,THE UPS STORE                                     ,OWNER                                             ,1588 LEESTOWN RD,,,,,,,,,,4,json,1588 LEESTOWN RD LEXINGTON KY
180232,2013/12/10 00:00:00.000000000,885 GLASFORD SQ                                   ,UNIT 104                                          ,TOWNHOUSE                                         ,50000,RML CONSTRUCTION                                  ,R M L CONSTRUCTION LLC                            ,885 GLASFORD SQ,,,,,,,,,,4,json,885 GLASFORD SQ LEXINGTON KY
181606,2014/03/21 00:00:00.000000000,517 S BROADWAY                                    ,                                                  ,"MECHANICAL, SINGLE FAMILY                         ",4987,MORGAN PROPERTIES                                 ,AIR CONTROL HEATING & COOLING OF LEX              ,517 S BROADWAY,,,,,,,,,,4,json,517 S BROADWAY LEXINGTON KY
184162,2014/07/28 00:00:00.000000000,137 MALABU DR                                     ,                                                  ,SIGNS                                             ,1266.5,MALABU MANOR                                      ,LEXINGTON TENT & AWNING CO                        ,137 MALABU DR,,,,,,,,,,4,json,137 MALABU DR LEXINGTON KY
167013,2012/01/04 00:00:00.000000000,945 NANDINO BLVD                                  ,                                                  ,SIGNS                                             ,4559,WORLDWIDE EQUIPMENT                               ,ROYER SIGN SHOPS INC                              ,945 NANDINO BLVD,,,,,,,,,,4,json,945 NANDINO BLVD LEXINGTON KY
172847,2012/11/02 00:00:00.000000000,4131 TATES CREEK RD                               ,                                                  ,"MECHANICAL COMM. $2,001-$10,000                   ",0,MCDONALDS CORP                                    ,MORRIS HEATING AND COOLING                        ,4131 TATES CREEK RD,,,,,,,,,,4,json,4131 TATES CREEK RD LEXINGTON KY
182877,2014/05/20 00:00:00.000000000,1317 CENTRE PKWY                                  ,                                                  ,"MECHANICAL COMM. $2,001-$10,000                   ",4900,LHA-CENTRAL OFFICE                                ,DISPONETTE SERVICE CO INC                         ,1317 CENTRE PKWY,,,,,,,,,,4,json,1317 CENTRE PKWY LEXINGTON KY
173846,2013/02/15 00:00:00.000000000,101 HELM ST                                       ,STE 110                                           ,TENANT FIT-UP                                     ,125000,TURNER DEVELOPMENT                                ,C B C E CONTRACTING INC                           ,101 HELM ST,,,,,,,,,,4,json,101 HELM ST LEXINGTON KY
179376,2013/11/01 00:00:00.000000000,814 EUCLID AVE                                    ,                                                  ,SIGNS                                             ,550,DONUT DAYS BAKER                                  ,SIGNS NOW                                         ,814 EUCLID AVE,,,,,,,,,,4,json,814 EUCLID AVE LEXINGTON KY
176863,2013/10/21 00:00:00.000000000,1992 PAVILION WAY                                 ,                                                  ,RETAIL SALES REMODELING                           ,750000,"ANDREW ARDITO, PROJECT MANAGER                    ",DOOLEY & MACK CONSTRUCTORS OF GEORGIA INC         ,1992 PAVILION WAY,,,,,,,,,,4,json,1992 PAVILION WAY LEXINGTON KY
183690,2014/07/02 00:00:00.000000000,1060 CHINOE RD                                    ,STE 104                                           ,ADDITION RESTAURANT                               ,199000,SHAKESPEARE & CO                                  ,"HAYDEN COMPANY INC, THE                           ",1060 CHINOE RD,,,,,,,,,,4,json,1060 CHINOE RD LEXINGTON KY
181732,2014/10/17 00:00:00.000000000,362 N MARTIN LUTHER KING BLVD                     ,                                                  ,"ADDITION, COMMERCIAL GENERAL                      ",3500061.28,LIVING ARTS AND SCIENCE                           ,BURCHFIELD & THOMAS INC                           ,362 N MARTIN LUTHER KING BLVD,,,,,,,,,,4,json,362 N MARTIN LUTHER KING BLVD LEXINGTON KY
166684,2011/12/01 00:00:00.000000000,1690 TRAVELLER RD                                 ,                                                  ,WRECKING COMMERCIAL                               ,10000,GARDENSIDE BAPTIST CHURCH                         ,SUPERIOR DEMOLITION INC                           ,1690 TRAVELLER RD,,,,,,,,,,4,json,1690 TRAVELLER RD LEXINGTON KY
164669,2011/07/21 00:00:00.000000000,443 WHISPERING HILLS DR                           ,                                                  ,"FENCE, RESIDENTIAL                                ",500,VERDIE CRAIG                                      ,RIO GRANDE FENCE CO INC                           ,443 WHISPERING HILLS DR,,,,,,,,,,4,json,443 WHISPERING HILLS DR LEXINGTON KY
187056,2015/01/12 00:00:00.000000000,1113 COMMERCIAL DR                                ,                                                  ,"MECHANICAL COMM. $2,001-$10,000                   ",2800,JONAH  MITCHELL                                   ,MARTY SMITH HVAC LLC                              ,1113 COMMERCIAL DR,,,,,,,,,,4,json,1113 COMMERCIAL DR LEXINGTON KY
179084,2013/10/09 00:00:00.000000000,3831 BELLEAU WOOD DR                              ,#38                                               ,"MECHANICAL, MULTI-FAMILY                          ",0,RML CONSTUCTION LLP                               ,STIVERS HVAC INC                                  ,3831 BELLEAU WOOD DR,,,,,,,,,,4,json,3831 BELLEAU WOOD DR LEXINGTON KY
185084,2014/09/05 00:00:00.000000000,1314 NANCY HANKS RD                               ,#1                                                ,"MECHANICAL, MULTI-FAMILY                          ",1500,BALL HOMES                                        ,STIVERS HVAC INC                                  ,1314 NANCY HANKS RD,,,,,,,,,,4,json,1314 NANCY HANKS RD LEXINGTON KY
177112,2013/07/02 00:00:00.000000000,3550 CREEKWOOD DR                                 ,APT 16                                            ,"MECHANICAL, MULTI-FAMILY                          ",0,CHINOE CREEK APTS                                 ,FAYETTE HEATING & AIR CONDITIONING                ,3550 CREEKWOOD DR,,,,,,,,,,4,json,3550 CREEKWOOD DR LEXINGTON KY
173823,2013/01/14 00:00:00.000000000,373 SOUTHLAND DR                                  ,                                                  ,ZONING COMPLIANCE PERMIT (N/C)                    ,0,SPEED WIRELESS                                    ,SPEED WIRELESS                                    ,373 SOUTHLAND DR,,,,,,,,,,4,json,373 SOUTHLAND DR LEXINGTON KY
186558,2014/12/03 00:00:00.000000000,2308 SIR BARTON WAY                               ,STE 195                                           ,SIGNS                                             ,20000,STARWOOD RETAIL PARTNERS                          ,INTEGRATED SIGN & GRAPHIC INC                     ,2308 SIR BARTON WAY,,,,,,,,,,4,json,2308 SIR BARTON WAY LEXINGTON KY
185625,2014/10/06 00:00:00.000000000,4180 BRIDGE WATER WAY                             ,#103                                              ,RESIDENTIAL DETACHED GARAGE                       ,5000,ANDERSON BRIDGE WATER WAY                         ,HARMONY HOME BUILDERS LLC                         ,4180 BRIDGE WATER WAY,,,,,,,,,,4,json,4180 BRIDGE WATER WAY LEXINGTON KY
178237,2013/08/27 00:00:00.000000000,698 E NEW CIRCLE RD                               ,                                                  ,ZONING COMPLIANCE PERMIT (N/C)                    ,0,BEST BUY AUTO MART LLC II                         ,BEST BUY AUTO MART LLC II                         ,698 E NEW CIRCLE RD,,,,,,,,,,4,json,698 E NEW CIRCLE RD LEXINGTON KY
174444,2013/02/26 00:00:00.000000000,508 HENRY CLAY BLVD                               ,                                                  ,CO-LOCATE TOWER                                   ,25000,SSPRINT NEXTEL                                    ,S B A NETWORK SERVICES LLC                        ,508 HENRY CLAY BLVD,,,,,,,,,,4,json,508 HENRY CLAY BLVD LEXINGTON KY
169240,2012/05/11 00:00:00.000000000,401 REED LN                                       ,                                                  ,"MECHANICAL, GOV BLDG LOCAL                        ",0,FAYETTE BOARD OF EDUCATION                        ,THERMAL EQUIPMENT SERVICE CO INC                  ,401 REED LN,,,,,,,,,,4,json,401 REED LN LEXINGTON KY
181483,2014/03/18 00:00:00.000000000,2251 WAR ADMIRAL WAY                              ,STE 110                                           ,"MECHANICAL COMM. $50,001-$75,000                  ",75000,A & W                                             ,FRANTZ INC                                        ,2251 WAR ADMIRAL WAY,,,,,,,,,,4,json,2251 WAR ADMIRAL WAY LEXINGTON KY
169140,2012/05/07 00:00:00.000000000,215 SOUTHLAND DR                                  ,                                                  ,"MECHANICAL COMM. $2,001-$10,000                   ",0,BANK OF THE BLUEGRASS                             ,GREEN BOX HEATING & AIR                           ,215 SOUTHLAND DR,,,,,,,,,,4,json,215 SOUTHLAND DR LEXINGTON KY
171696,2012/09/04 00:00:00.000000000,490 ROSEMILL DR                                   ,                                                  ,"WRECKING STRUCTURES, RESIDENTIAL                  ",5500,496 SOUTHLAND DR LLC                              ,ROE EXCAVATING                                    ,490 ROSEMILL DR,,,,,,,,,,4,json,490 ROSEMILL DR LEXINGTON KY
169492,2012/05/23 00:00:00.000000000,250 WALTON AVE                                    ,STE 160                                           ,"MECHANICAL COMM. $10,001-$25,000                  ",0,WALKER PROPERTIES                                 ,BREWERS H V A C                                   ,250 WALTON AVE,,,,,,,,,,4,json,250 WALTON AVE LEXINGTON KY
172409,2012/10/10 00:00:00.000000000,533 E FOURTH ST                                   ,                                                  ,RESIDENTIAL ADDITION                              ,15000,SAHNNON & ANGELA HALL                             ,AMERICAN HOME DESIGN INC                          ,533 E FOURTH ST,,,,,,,,,,4,json,533 E FOURTH ST LEXINGTON KY
186495,2014/11/25 00:00:00.000000000,734 NATIONAL AVE                                  ,STE 120                                           ,REMOD. GEN. BUSINESS OFFICE/BLDG.                 ,1000,THE COLISEUM/DWAYNE CARR                          ,WALKER PROPERTIES                                 ,734 NATIONAL AVE,,,,,,,,,,4,json,734 NATIONAL AVE LEXINGTON KY
171198,2012/08/08 00:00:00.000000000,4240 EVANGLEINE LN                                ,                                                  ,TOWNHOUSE                                         ,50000,R M L CONSTRUCTION                                ,R M L CONSTRUCTION LLC                            ,4240 EVANGLEINE LN,,,,,,,,,,4,json,4240 EVANGLEINE LN LEXINGTON KY
175635,2013/04/25 00:00:00.000000000,787 LIBERTY RIDGE LN                              ,                                                  ,"MECHANICAL, SINGLE FAMILY                         ",0,LIBERTY RIDGE SENIOR LIVING                       ,CLIMATE CONTROL CORPORATION                       ,787 LIBERTY RIDGE LN,,,,,,,,,,4,json,787 LIBERTY RIDGE LN LEXINGTON KY
162831,2011/04/01 00:00:00.000000000,135 CHERRYBARK DR                                 ,                                                  ,"MECHANICAL COMM. $2,001-$10,000                   ",0,HUNTER DAVIS                                      ,AIR TECH INC                                      ,135 CHERRYBARK DR,,,,,,,,,,4,json,135 CHERRYBARK DR LEXINGTON KY
176153,2013/05/16 00:00:00.000000000,740 - 758 PHILLIPS LN                             ,                                                  ,ZONING COMPLIANCE PERMIT (N/C)                    ,0,"STAR CONSTRUCTION, LLC                            ",                                                  ,740,,,,,,,,,,4,json,740 LEXINGTON KY
179402,2013/10/30 00:00:00.000000000,128 E NEW CIRCLE RD                               ,                                                  ,"MECHANICAL COMM. $10,001-$25,000                  ",0,ROSENSTEIN DEVELOPMENT                            ,SERVICE EXPRESS CO                                ,128 E NEW CIRCLE RD,,,,,,,,,,4,json,128 E NEW CIRCLE RD LEXINGTON KY
183249,2014/06/04 00:00:00.000000000,227 N LIMESTONE                                   ,                                                  ,REMODELING RESTAURANT                             ,7000,LEXINGTON PASTA CO.                               ,T B D                                             ,227 N LIMESTONE,,,,,,,,,,4,json,227 N LIMESTONE LEXINGTON KY
180693,2014/01/16 00:00:00.000000000,2430 PATCHEN WILKES DR                            ,                                                  ,GRADING RESIDENTIAL                               ,0,"SJM HOMES, LLC                                    ",S J M HOMES LLC                                   ,2430 PATCHEN WILKES DR,,,,,,,,,,4,json,2430 PATCHEN WILKES DR LEXINGTON KY
185121,2014/09/09 00:00:00.000000000,816 DE ROODE ST                                   ,                                                  ,"MECHANICAL, SINGLE FAMILY                         ",8750,AU ASSOCIATES                                     ,GREEN BOX HEATING & AIR                           ,816 DE ROODE ST,,,,,,,,,,4,json,816 DE ROODE ST LEXINGTON KY
163564,2011/05/16 00:00:00.000000000,1550 RUSSELL CAVE RD                              ,                                                  ,"MECHANICAL COMM. $2,001-$10,000                   ",0,BECKY KING                                        ,COLEMAN SMITH INC                                 ,1550 RUSSELL CAVE RD,,,,,,,,,,4,json,1550 RUSSELL CAVE RD LEXINGTON KY
170534,2012/07/09 00:00:00.000000000,1400 DIXIANA DOMINO RD                            ,                                                  ,SINGLE FAMILY RESIDENCE                           ,4000000,DIXIANA LLC                                       ,PADGETT CONSTRUCTION INC                          ,1400 DIXIANA DOMINO RD,,,,,,,,,,4,json,1400 DIXIANA DOMINO RD LEXINGTON KY
183601,2014/06/20 00:00:00.000000000,1057 GOODWIN DR                                   ,                                                  ,"MECHANICAL COMM. $2,001-$10,000                   ",0,JERRY GIBBS                                       ,AIR CONTROL HEATING & COOLING OF LEX              ,1057 GOODWIN DR,,,,,,,,,,4,json,1057 GOODWIN DR LEXINGTON KY
171553,2012/08/24 00:00:00.000000000,4207 EVANGLEINE LN                                ,                                                  ,TOWNHOUSE                                         ,50000,R M L CONSTRUCTION                                ,R M L CONSTRUCTION LLC                            ,4207 EVANGLEINE LN,,,,,,,,,,4,json,4207 EVANGLEINE LN LEXINGTON KY
186541,2014/12/01 00:00:00.000000000,523 E HIGH ST                                     ,                                                  ,ZONING COMPLIANCE PERMIT (N/C)                    ,0,HIGH ON ART & COFFEE                              ,HIGH ON ART & COFFEE                              ,523 E HIGH ST,,,,,,,,,,4,json,523 E HIGH ST LEXINGTON KY
169661,2012/06/18 00:00:00.000000000,1720 NICHOLASVILLE RD                             ,                                                  ,ADDITION PRIVATE HOSPITAL                         ,15827196,CENTRAL BAPTIST HOSPITAL                          ,CONGLETON-HACKER COMPANY                          ,1720 NICHOLASVILLE RD,,,,,,,,,,4,json,1720 NICHOLASVILLE RD LEXINGTON KY
175297,2013/04/05 00:00:00.000000000,131 CHEAPSIDE                                     ,                                                  ,SIDEWALK CAFE - YEARLY RENEWAL                    ,0,ROBIN CAMPBELL                                    ,N/A                                               ,131 CHEAPSIDE,,,,,,,,,,4,json,131 CHEAPSIDE LEXINGTON KY
173259,2012/11/30 00:00:00.000000000,4324 EVANGELINE LN                                ,                                                  ,TOWNHOUSE                                         ,50000,R M L CONSTRUCTION LLC                            ,R M L CONSTRUCTION LLC                            ,4324 EVANGELINE LN,,,,,,,,,,4,json,4324 EVANGELINE LN LEXINGTON KY
