CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed,CleanAddress,MatchType,MatchAddress,parcelId,lat,lng
09391692#1-4,2011,1692 HILL RISE DR#1,2011/05/20 00:00:00.000000000,Housing,Invalid Complaint,2011/05/24 00:00:00.000000000,Y,1692 HILL RISE DR,,,,,
03641333#24-3,2011,1333 CENTRE PKWY#24,2011/05/25 00:00:00.000000000,Housing,Invalid Complaint,2011/05/26 00:00:00.000000000,Y,1333 CENTRE PKWY,,,,,
00231553-2,2011,1553 ALEXANDRIA DR,2011/06/06 00:00:00.000000000,Housing,Invalid Complaint,2011/06/07 00:00:00.000000000,Y,1553 ALEXANDRIA DR,,,,,
13972387,2011,2387 NICHOLASVILLE RD,2011/06/07 00:00:00.000000000,Housing,Invalid Complaint,2011/06/08 00:00:00.000000000,Y,2387 NICHOLASVILLE RD,,,,,
35031996,2011,1996 PAVILION WAY,2011/06/07 00:00:00.000000000,Housing,Invalid Complaint,2011/06/14 00:00:00.000000000,Y,1996 PAVILION WAY,,,,,
21030388,2011,388 WOODLAND AVE,2011/06/13 00:00:00.000000000,Housing,Invalid Complaint,2011/06/14 00:00:00.000000000,Y,388 WOODLAND AVE,,,,,
20671053#136-3,2011,1053 WINBURN DR #136,2011/06/16 00:00:00.000000000,Housing,Invalid Complaint,2011/06/30 00:00:00.000000000,Y,1053 WINBURN DR,,,,,
07030530,2011,530 W FIFTH ST,2011/06/20 00:00:00.000000000,Housing,Invalid Complaint,2011/06/21 00:00:00.000000000,Y,530 W FIFTH ST,,,,,
03641333#47,2011,1333 CENTRE PKWY#47,2011/06/22 00:00:00.000000000,Housing,Invalid Complaint,2011/06/23 00:00:00.000000000,Y,1333 CENTRE PKWY,,,,,
07830651,2011,651 GEORGETOWN RD,2011/07/06 00:00:00.000000000,Housing,Invalid Complaint,2011/07/07 00:00:00.000000000,Y,651 GEORGETOWN RD,,,,,
09391695,2011,1695 HILL RISE DR,2011/07/08 00:00:00.000000000,Housing,Invalid Complaint,2011/07/08 00:00:00.000000000,Y,1695 HILL RISE DR,,,,,
09771417,2011,1417 HUNTSVILLE DR,2011/07/11 00:00:00.000000000,Housing,Invalid Complaint,2011/07/18 00:00:00.000000000,Y,1417 HUNTSVILLE DR,,,,,
19890675-3,2011,675 N MARTIN LUTHER KING BLVD RETAINING WALL,2011/07/18 00:00:00.000000000,Housing,Invalid Complaint,2011/07/25 00:00:00.000000000,Y,675 N MARTIN LUTHER KING BLVD RETAINING WALL,,,,,
19450334-2,2011,334 S UPPER ST,2011/08/10 00:00:00.000000000,Housing,Invalid Complaint,2011/08/11 00:00:00.000000000,Y,334 S UPPER ST,,,,,
03641333#24-4,2011,1333 CENTRE PKWY #24,2011/08/22 00:00:00.000000000,Housing,Invalid Complaint,2011/08/23 00:00:00.000000000,Y,1333 CENTRE PKWY,,,,,
41111147,2011,1147 MOUNTAIN LAUREL WAY,2011/08/31 00:00:00.000000000,Housing,Invalid Complaint,2011/09/01 00:00:00.000000000,Y,1147 MOUNTAIN LAUREL WAY,,,,,
05581104,2011,1104 DEVONIA AVE,2011/09/09 00:00:00.000000000,Housing,Invalid Complaint,2011/09/13 00:00:00.000000000,Y,1104 DEVONIA AVE,,,,,
19450345,2011,345 S UPPER ST,2011/09/12 00:00:00.000000000,Housing,Invalid Complaint,2011/09/15 00:00:00.000000000,Y,345 S UPPER ST,,,,,
07030172,2011,172 W FIFTH ST,2011/09/21 00:00:00.000000000,Housing,Invalid Complaint,2011/09/22 00:00:00.000000000,Y,172 W FIFTH ST,,,,,
11401317#B,2011,1317 LEANING TREE LN 3B,2011/09/21 00:00:00.000000000,Housing,Invalid Complaint,2011/09/26 00:00:00.000000000,Y,1317 LEANING TREE LN 3B,,,,,
02350257,2011,257 BREATHITT AVE,2011/10/03 00:00:00.000000000,Housing,Invalid Complaint,2011/10/03 00:00:00.000000000,Y,257 BREATHITT AVE,,,,,
22491508-4,2011,1508 CONTINENTAL SQ,2011/10/12 00:00:00.000000000,Housing,Invalid Complaint,2011/10/13 00:00:00.000000000,Y,1508 CONTINENTAL SQ,,,,,
33240439,2011,439 FAIRDALE DR,2011/10/18 00:00:00.000000000,Housing,Invalid Complaint,2011/10/20 00:00:00.000000000,Y,439 FAIRDALE DR,,,,,
12781760-2,2011,1760 MCCULLOUGH DR,2011/10/19 00:00:00.000000000,Housing,Invalid Complaint,2011/11/04 00:00:00.000000000,Y,1760 MCCULLOUGH DR,,,,,
12781750#29-2,2011,1750 MCCULLOUGH DR #29,2011/10/19 00:00:00.000000000,Housing,Invalid Complaint,2011/11/04 00:00:00.000000000,Y,1750 MCCULLOUGH DR,,,,,
18010208,2011,208 STONE AVE,2011/10/24 00:00:00.000000000,Housing,Invalid Complaint,2011/10/24 00:00:00.000000000,Y,208 STONE AVE,,,,,
03041954#2,2011,1954 CAMBRIDGE DR #2,2011/11/01 00:00:00.000000000,Housing,Invalid Complaint,2011/11/11 00:00:00.000000000,Y,1954 CAMBRIDGE DR,,,,,
12781760-5,2011,1760 MCCULLOUGH DR,2011/11/01 00:00:00.000000000,Housing,Invalid Complaint,2011/11/04 00:00:00.000000000,Y,1760 MCCULLOUGH DR,,,,,
27930539#B,2011,539 PEMBERTON LN #B,2011/11/07 00:00:00.000000000,Housing,Invalid Complaint,2011/11/09 00:00:00.000000000,Y,539 PEMBERTON LN,,,,,
00771558,2011,1558 ASTAIRE CT,2011/11/08 00:00:00.000000000,Housing,Invalid Complaint,2011/11/14 00:00:00.000000000,Y,1558 ASTAIRE CT,,,,,
03641333#33,2011,1333 CENTRE PKWY #33,2011/11/10 00:00:00.000000000,Housing,Invalid Complaint,2011/11/11 00:00:00.000000000,Y,1333 CENTRE PKWY,,,,,
32690659,2011,659 SHERARD CIR,2011/11/18 00:00:00.000000000,Housing,Invalid Complaint,2011/11/21 00:00:00.000000000,Y,659 SHERARD CIR,,,,,
12781760#5,2011,1760 MCCULLOUGH DR #5,2011/12/05 00:00:00.000000000,Housing,Invalid Complaint,2011/12/27 00:00:00.000000000,Y,1760 MCCULLOUGH DR,,,,,
09510440#E12,2011,440 HOLLOW CREEK RD #E12,2011/12/06 00:00:00.000000000,Housing,Invalid Complaint,2011/12/07 00:00:00.000000000,Y,440 HOLLOW CREEK RD,,,,,
14680218#517,2011,218 PATCHEN DR #517,2011/12/16 00:00:00.000000000,Housing,Invalid Complaint,2011/12/19 00:00:00.000000000,Y,218 PATCHEN DR,,,,,
12840296,2011,296 MEADOW LN,2011/12/19 00:00:00.000000000,Housing,Invalid Complaint,2011/12/19 00:00:00.000000000,Y,296 MEADOW LN,,,,,
16193707,2011,3707 ROCKY HILL TER,2011/12/19 00:00:00.000000000,Housing,Invalid Complaint,2011/12/20 00:00:00.000000000,Y,3707 ROCKY HILL TER,,,,,
30083826,2011,3826 SUGAR CREEK DR,2011/12/19 00:00:00.000000000,Housing,Invalid Complaint,2011/12/20 00:00:00.000000000,Y,3826 SUGAR CREEK DR,,,,,
20671053#38-3,2011,1053 WINBURN DR #38,2011/12/22 00:00:00.000000000,Housing,Invalid Complaint,2011/12/27 00:00:00.000000000,Y,1053 WINBURN DR,,,,,
07840520#1,2011,520 GEORGETOWN ST #1,2011/12/29 00:00:00.000000000,Housing,Invalid Complaint,2011/12/29 00:00:00.000000000,Y,520 GEORGETOWN ST,,,,,
06001612,2012,1612 DUNKIRK DR,2012/01/12 00:00:00.000000000,Housing,Invalid Complaint,2012/01/12 00:00:00.000000000,Y,1612 DUNKIRK DR,,,,,
20671053#52-3,2012,1053 WINBURN DR #52,2012/01/18 00:00:00.000000000,Housing,Invalid Complaint,2012/02/02 00:00:00.000000000,Y,1053 WINBURN DR,,,,,
17350534,2012,534 SMITH ST,2012/01/25 00:00:00.000000000,Housing,Invalid Complaint,2012/01/30 00:00:00.000000000,Y,534 SMITH ST,,,,,
20671053-3,2012,1053 WINBURN DR,2012/01/27 00:00:00.000000000,Housing,Invalid Complaint,2012/01/30 00:00:00.000000000,Y,1053 WINBURN DR,,,,,
09391692#7-2,2012,1692 HILL RISE DR#7,2012/01/30 00:00:00.000000000,Housing,Invalid Complaint,2012/02/01 00:00:00.000000000,Y,1692 HILL RISE DR,,,,,
35901275,2012,1275 DEER HAVEN LN,2012/02/14 00:00:00.000000000,Housing,Invalid Complaint,2012/02/21 00:00:00.000000000,Y,1275 DEER HAVEN LN,,,,,
18323453,2012,3453 SUTHERLAND DR,2012/02/28 00:00:00.000000000,Housing,Invalid Complaint,2012/03/19 00:00:00.000000000,Y,3453 SUTHERLAND DR,,,,,
09631152,2012,1152 HORSEMANS LN,2012/03/05 00:00:00.000000000,Housing,Invalid Complaint,2012/03/06 00:00:00.000000000,Y,1152 HORSEMANS LN,,,,,
35070332W,2012,332 PINEWOOD CT,2012/03/19 00:00:00.000000000,Housing,Invalid Complaint,2013/01/09 00:00:00.000000000,Y,332 PINEWOOD CT,,,,,
01591955,2012,1955 BELLEFONTE DR,2012/03/19 00:00:00.000000000,Housing,Invalid Complaint,2012/03/23 00:00:00.000000000,Y,1955 BELLEFONTE DR,,,,,
15550523,2012,523 PYKE RD,2012/03/20 00:00:00.000000000,Housing,Invalid Complaint,2012/03/23 00:00:00.000000000,Y,523 PYKE RD,,,,,
03641317#76-2,2012,1317 CENTRE PKWY #76,2012/03/26 00:00:00.000000000,Housing,Invalid Complaint,2012/03/27 00:00:00.000000000,Y,1317 CENTRE PKWY,,,,,
18690696-2,2012,696 TENNESSEE AVE,2012/04/06 00:00:00.000000000,Housing,Invalid Complaint,2012/04/06 00:00:00.000000000,Y,696 TENNESSEE AVE,,,,,
22491508#28,2012,1508 CONTINENTAL SQ #28,2012/04/26 00:00:00.000000000,Housing,Invalid Complaint,2012/05/03 00:00:00.000000000,Y,1508 CONTINENTAL SQ,,,,,
15120526,2012,526 PINE ST,2012/04/30 00:00:00.000000000,Housing,Invalid Complaint,2012/05/03 00:00:00.000000000,Y,526 PINE ST,,,,,
10111754#H1,2012,1754 JENNIFER RD #H1,2012/04/30 00:00:00.000000000,Housing,Invalid Complaint,2012/05/03 00:00:00.000000000,Y,1754 JENNIFER RD,,,,,
18323455,2012,3455 SUTHERLAND DR,2012/05/03 00:00:00.000000000,Housing,Invalid Complaint,2012/05/07 00:00:00.000000000,Y,3455 SUTHERLAND DR,,,,,
11950699,2012,699 LOMBARDY DR,2012/05/18 00:00:00.000000000,Housing,Invalid Complaint,2012/05/21 00:00:00.000000000,Y,699 LOMBARDY DR,,,,,
16360490-3,2012,490 ROSEMILL DR,2012/05/22 00:00:00.000000000,Housing,Invalid Complaint,2012/05/30 00:00:00.000000000,Y,490 ROSEMILL DR,,,,,
18800545,2012,545 W THIRD ST,2012/05/23 00:00:00.000000000,Housing,Invalid Complaint,2012/05/29 00:00:00.000000000,Y,545 W THIRD ST,,,,,
14840407,2012,407 PENNSYLVANIA AVE,2012/06/11 00:00:00.000000000,Housing,Invalid Complaint,2012/07/12 00:00:00.000000000,Y,407 PENNSYLVANIA AVE,,,,,
19602185,2012,2185 VERSAILLES RD,2012/06/14 00:00:00.000000000,Housing,Invalid Complaint,2012/06/15 00:00:00.000000000,Y,2185 VERSAILLES RD,,,,,
00231493,2012,1493 ALEXANDRIA DR,2012/06/29 00:00:00.000000000,Housing,Invalid Complaint,2012/06/29 00:00:00.000000000,Y,1493 ALEXANDRIA DR,,,,,
10111724#1,2012,1724 JENNIFER RD #1,2012/07/03 00:00:00.000000000,Housing,Invalid Complaint,2012/07/10 00:00:00.000000000,Y,1724 JENNIFER RD,,,,,
02510350,2012,350 S BROADWAY,2012/07/05 00:00:00.000000000,Housing,Invalid Complaint,2012/07/06 00:00:00.000000000,Y,350 S BROADWAY,,,,,
20872234,2012,2234 WINTERBERRY DR,2012/07/09 00:00:00.000000000,Housing,Invalid Complaint,2012/07/10 00:00:00.000000000,Y,2234 WINTERBERRY DR,,,,,
13080531#C,2012,531 MICHIGAN ST #C,2012/07/16 00:00:00.000000000,Housing,Invalid Complaint,2012/07/17 00:00:00.000000000,Y,531 MICHIGAN ST,,,,,
12781750#29-3,2012,1750 MCCULLOUGH DR #29,2012/07/26 00:00:00.000000000,Housing,Invalid Complaint,2012/07/30 00:00:00.000000000,Y,1750 MCCULLOUGH DR,,,,,
44580209,2012,209 SOUP PERKINS ALY,2012/08/02 00:00:00.000000000,Housing,Invalid Complaint,2012/08/06 00:00:00.000000000,Y,209 SOUP PERKINS ALY,,,,,
16360490BRDUP2,2012,480-490 ROSEMILL DR,2012/08/06 00:00:00.000000000,Housing,Invalid Complaint,2012/08/10 00:00:00.000000000,Y,480 ROSEMILL DR,,,,,
03641333#36,2012,1333 CENTRE PKWY #36,2012/08/23 00:00:00.000000000,Housing,Invalid Complaint,2012/08/23 00:00:00.000000000,Y,1333 CENTRE PKWY,,,,,
09391701#10-2,2012,1701 HILL RISE DR #10,2012/08/23 00:00:00.000000000,Housing,Invalid Complaint,2012/08/31 00:00:00.000000000,Y,1701 HILL RISE DR,,,,,
07202160-4,2012,2160 FONTAINE RD PARKING LOT,2012/09/05 00:00:00.000000000,Housing,Invalid Complaint,2012/09/06 00:00:00.000000000,Y,2160 FONTAINE RD PARKING,,,,,
20671053#64-4,2012,1053 WINBURN DR #64,2012/09/06 00:00:00.000000000,Housing,Invalid Complaint,2012/09/13 00:00:00.000000000,Y,1053 WINBURN DR,,,,,
04590102-2,2012,102 CONN TER,2012/09/12 00:00:00.000000000,Housing,Invalid Complaint,2012/09/14 00:00:00.000000000,Y,102 CONN TER,,,,,
04590106-4,2012,106 CONN TER,2012/09/12 00:00:00.000000000,Housing,Invalid Complaint,2012/09/14 00:00:00.000000000,Y,106 CONN TER,,,,,
19450334-3,2012,334 S UPPER ST,2012/09/12 00:00:00.000000000,Housing,Invalid Complaint,2012/09/24 00:00:00.000000000,Y,334 S UPPER ST,,,,,
07830410,2012,410 GEORGETOWN RD,2012/09/17 00:00:00.000000000,Housing,Invalid Complaint,2012/09/18 00:00:00.000000000,Y,410 GEORGETOWN RD,,,,,
09391692#8-3,2012,1692 HILL RISE DR #8,2012/09/17 00:00:00.000000000,Housing,Invalid Complaint,2012/09/24 00:00:00.000000000,Y,1692 HILL RISE DR,,,,,
02120514,2012,514 BOOKER ST,2012/09/18 00:00:00.000000000,Housing,Invalid Complaint,2012/09/18 00:00:00.000000000,Y,514 BOOKER ST,,,,,
12781760#19,2012,1760 MCCULLOUGH DR #19,2012/09/21 00:00:00.000000000,Housing,Invalid Complaint,2012/10/08 00:00:00.000000000,Y,1760 MCCULLOUGH DR,,,,,
13080507#A,2012,507 MICHIGAN ST #A,2012/09/26 00:00:00.000000000,Housing,Invalid Complaint,2012/09/27 00:00:00.000000000,Y,507 MICHIGAN ST,,,,,
06152222,2012,2222 EASTWAY DR,2012/10/01 00:00:00.000000000,Housing,Invalid Complaint,2012/10/01 00:00:00.000000000,Y,2222 EASTWAY DR,,,,,
09391695#2-2,2012,1695 HILL RISE DR #2,2012/10/02 00:00:00.000000000,Housing,Invalid Complaint,2012/10/03 00:00:00.000000000,Y,1695 HILL RISE DR,,,,,
14661099,2012,1099 PASADENA DR,2012/10/15 00:00:00.000000000,Housing,Invalid Complaint,2012/10/18 00:00:00.000000000,Y,1099 PASADENA DR,,,,,
15420471-5,2012,471 PRICE AVE,2012/11/26 00:00:00.000000000,Housing,Invalid Complaint,2012/11/26 00:00:00.000000000,Y,471 PRICE AVE,,,,,
07702070-2,2012,2070 GARDEN SPRINGS DR,2012/12/10 00:00:00.000000000,Housing,Invalid Complaint,2012/12/10 00:00:00.000000000,Y,2070 GARDEN SPRINGS DR,,,,,
00430472,2012,472 ANNISTON DR,2012/12/10 00:00:00.000000000,Housing,Invalid Complaint,2012/12/12 00:00:00.000000000,Y,472 ANNISTON DR,,,,,
09391692#1-5,2012,1692 HILL RISE DR #1,2012/12/12 00:00:00.000000000,Housing,Invalid Complaint,2012/12/14 00:00:00.000000000,Y,1692 HILL RISE DR,,,,,
05580208,2013,208 DEVONIA AVE,2013/01/04 00:00:00.000000000,Housing,Invalid Complaint,2013/01/09 00:00:00.000000000,Y,208 DEVONIA AVE,,,,,
31980543,2013,543 CRICKLEWOOD CT,2013/01/09 00:00:00.000000000,Housing,Invalid Complaint,2013/01/14 00:00:00.000000000,Y,543 CRICKLEWOOD CT,,,,,
20671053#21,2013,1053 WINBURN DR #21,2013/01/11 00:00:00.000000000,Housing,Invalid Complaint,2013/01/14 00:00:00.000000000,Y,1053 WINBURN DR,,,,,
17170517#9,2013,517 W SHORT ST #9,2013/01/11 00:00:00.000000000,Housing,Invalid Complaint,2013/01/16 00:00:00.000000000,Y,517 W SHORT ST,,,,,
00231685-6,2013,1685 ALEXANDRIA DR,2013/01/30 00:00:00.000000000,Housing,Invalid Complaint,2013/02/04 00:00:00.000000000,Y,1685 ALEXANDRIA DR,,,,,
12781760#5-4,2013,1760 MCCULLOUGH DR #5,2013/02/01 00:00:00.000000000,Housing,Invalid Complaint,2013/02/08 00:00:00.000000000,Y,1760 MCCULLOUGH DR,,,,,
03960251,2013,251 CHIPPEN DALE CIR,2013/02/22 00:00:00.000000000,Housing,Invalid Complaint,2013/03/04 00:00:00.000000000,Y,251 CHIPPEN DALE CIR,,,,,
00931474,2013,1474 AUGUSTA DR,2013/02/22 00:00:00.000000000,Housing,Invalid Complaint,2013/02/27 00:00:00.000000000,Y,1474 AUGUSTA DR,,,,,
05672216-2,2013,2216 DINSMORE DR,2013/02/27 00:00:00.000000000,Housing,Invalid Complaint,2013/02/27 00:00:00.000000000,Y,2216 DINSMORE DR,,,,,
10111752#G3,2013,1752 JENNIFER RD #G3,2013/03/05 00:00:00.000000000,Housing,Invalid Complaint,2013/03/25 00:00:00.000000000,Y,1752 JENNIFER RD,,,,,
10111742,2013,1742 JENNIFER RD,2013/03/18 00:00:00.000000000,Housing,Invalid Complaint,2013/03/25 00:00:00.000000000,Y,1742 JENNIFER RD,,,,,
12951205,2013,1205 MENIFEE AVE,2013/04/05 00:00:00.000000000,Housing,Invalid Complaint,2013/04/10 00:00:00.000000000,Y,1205 MENIFEE AVE,,,,,
12781760#6,2013,1760 MCCULLOUGH DR #6,2013/04/08 00:00:00.000000000,Housing,Invalid Complaint,2013/04/22 00:00:00.000000000,Y,1760 MCCULLOUGH DR,,,,,
13841205,2013,1205 E NEW CIRCLE RD,2013/04/15 00:00:00.000000000,Housing,Invalid Complaint,2013/04/17 00:00:00.000000000,Y,1205 E NEW CIRCLE RD,,,,,
07871881,2013,1881 GETTYSBURG RD,2013/04/17 00:00:00.000000000,Housing,Invalid Complaint,2013/04/23 00:00:00.000000000,Y,1881 GETTYSBURG RD,,,,,
32210555#E,2013,555 NEWTOWN PIKE #E,2013/04/17 00:00:00.000000000,Housing,Invalid Complaint,2013/05/20 00:00:00.000000000,Y,555 NEWTOWN PIKE,,,,,
06760104BRDUP,2013,104 FAIRLAWN AVE,2013/04/19 00:00:00.000000000,Housing,Invalid Complaint,2014/03/03 00:00:00.000000000,Y,104 FAIRLAWN AVE,,,,,
43512510,2013,2510 LINDENHURST LOOP,2013/04/19 00:00:00.000000000,Housing,Invalid Complaint,2013/04/23 00:00:00.000000000,Y,2510 LINDENHURST LOOP,,,,,
15420471#122,2013,471 PRICE AVE #122,2013/05/02 00:00:00.000000000,Housing,Invalid Complaint,2013/05/21 00:00:00.000000000,Y,471 PRICE AVE,,,,,
09290308,2013,308 E HIGH ST,2013/05/03 00:00:00.000000000,Housing,Invalid Complaint,2013/05/07 00:00:00.000000000,Y,308 E HIGH ST,,,,,
19601724#106,2013,1724 VERSAILLES RD #106,2013/05/21 00:00:00.000000000,Housing,Invalid Complaint,2013/05/22 00:00:00.000000000,Y,1724 VERSAILLES RD,,,,,
19440672-5,2013,672 N UPPER ST,2013/05/22 00:00:00.000000000,Housing,Invalid Complaint,2013/05/28 00:00:00.000000000,Y,672 N UPPER ST,,,,,
17190616#104,2013,616 SHROPSHIRE AVE #104,2013/05/23 00:00:00.000000000,Housing,Invalid Complaint,2013/05/24 00:00:00.000000000,Y,616 SHROPSHIRE AVE,,,,,
02675000,2013,5000 BRYAN STATION RD,2013/05/23 00:00:00.000000000,Housing,Invalid Complaint,2013/05/29 00:00:00.000000000,Y,5000 BRYAN STATION RD,,,,,
00931474-2,2013,1474 AUGUSTA DR,2013/05/24 00:00:00.000000000,Housing,Invalid Complaint,2013/06/04 00:00:00.000000000,Y,1474 AUGUSTA DR,,,,,
15823727,2013,3727 RED RIVER DR,2013/06/04 00:00:00.000000000,Housing,Invalid Complaint,2013/06/10 00:00:00.000000000,Y,3727 RED RIVER DR,,,,,
07252010,2013,2010 FORDSON CT,2013/06/11 00:00:00.000000000,Housing,Invalid Complaint,2013/06/12 00:00:00.000000000,Y,2010 FORDSON CT,,,,,
15671788,2013,1788 RALEIGH RD,2013/06/14 00:00:00.000000000,Housing,Invalid Complaint,2013/06/17 00:00:00.000000000,Y,1788 RALEIGH RD,,,,,
05151814#3-2,2013,1814 DALTON CT #3,2013/06/17 00:00:00.000000000,Housing,Invalid Complaint,2013/07/03 00:00:00.000000000,Y,1814 DALTON CT,,,,,
10010723,2013,723 JACKSON ST,2013/06/21 00:00:00.000000000,Housing,Invalid Complaint,2014/03/04 00:00:00.000000000,Y,723 JACKSON ST,,,,,
10010725,2013,725 JACKSON ST,2013/06/21 00:00:00.000000000,Housing,Invalid Complaint,2014/03/04 00:00:00.000000000,Y,725 JACKSON ST,,,,,
34714025,2013,4025 NICHOLS PARK DR,2013/06/24 00:00:00.000000000,Housing,Invalid Complaint,2013/06/28 00:00:00.000000000,Y,4025 NICHOLS PARK DR,,,,,
14680219#814-3,2013,219 PATCHEN DR #814,2013/06/26 00:00:00.000000000,Housing,Invalid Complaint,2013/06/27 00:00:00.000000000,Y,219 PATCHEN DR,,,,,
17963125,2013,3125 STERLINGTON RD,2013/06/27 00:00:00.000000000,Housing,Invalid Complaint,2013/07/01 00:00:00.000000000,Y,3125 STERLINGTON RD,,,,,
33740484,2013,484 RIVER RD,2013/06/27 00:00:00.000000000,Housing,Invalid Complaint,2013/07/01 00:00:00.000000000,Y,484 RIVER RD,,,,,
19601700,2013,1700 VERSAILLES RD,2013/06/28 00:00:00.000000000,Housing,Invalid Complaint,2013/07/03 00:00:00.000000000,Y,1700 VERSAILLES RD,,,,,
14200600,2013,600 OHIO ST,2013/07/05 00:00:00.000000000,Housing,Invalid Complaint,2013/07/15 00:00:00.000000000,Y,600 OHIO ST,,,,,
17520401,2013,401 SPANGLER DR,2013/07/08 00:00:00.000000000,Housing,Invalid Complaint,2013/07/10 00:00:00.000000000,Y,401 SPANGLER DR,,,,,
09391700#9,2013,1700 HILL RISE DR #9,2013/07/08 00:00:00.000000000,Housing,Invalid Complaint,2013/07/09 00:00:00.000000000,Y,1700 HILL RISE DR,,,,,
09391706#11-3,2013,1706 HILL RISE DR #11,2013/07/10 00:00:00.000000000,Housing,Invalid Complaint,2013/07/16 00:00:00.000000000,Y,1706 HILL RISE DR,,,,,
05100729,2013,729 DAKOTA ST,2013/07/12 00:00:00.000000000,Housing,Invalid Complaint,2013/07/17 00:00:00.000000000,Y,729 DAKOTA ST,,,,,
07252010-2,2013,2010 FORDSON CT,2013/07/16 00:00:00.000000000,Housing,Invalid Complaint,2013/07/18 00:00:00.000000000,Y,2010 FORDSON CT,,,,,
07830917-3,2013,917 GEORGETOWN RD,2013/07/19 00:00:00.000000000,Housing,Invalid Complaint,2013/08/02 00:00:00.000000000,Y,917 GEORGETOWN RD,,,,,
00921788#1-3,2013,1788 AUGUSTA CT,2013/07/24 00:00:00.000000000,Housing,Invalid Complaint,2013/08/05 00:00:00.000000000,Y,1788 AUGUSTA CT,,,,,
