CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed,CleanAddress,MatchType,MatchAddress,parcelId,lat,lng
00231685-5,2011,1685 ALEXANDRIA DR,2011/04/15 00:00:00.000,Housing,Invalid Complaint,2011/04/18 00:00:00.000,Y,1685 ALEXANDRIA DR,Block Level,ALEXANDRIA DR,,-84.551940189959993,38.042220187316268
09391701-1,2011,1701 HILL RISE DR,2011/04/21 00:00:00.000,Housing,Invalid Complaint,2011/04/25 00:00:00.000,Y,1701 HILL RISE DR,Block Level,HILL RISE DR,,-84.535034633846664,38.046821758543686
03641317#57,2011,1317 CENTRE PKWY #57,2011/04/22 00:00:00.000,Housing,Invalid Complaint,2011/04/25 00:00:00.000,Y,1317 CENTRE PKWY,Block Level,CENTRE PKWY,,-84.476330888570672,37.980774816397123
16360490-2,2011,490 ROSEMILL DR,2011/04/22 00:00:00.000,Housing,Invalid Complaint,2011/04/26 00:00:00.000,Y,490 ROSEMILL DR,Block Level,ROSEMILL DR,,-84.529544198640664,38.020733230664433
12384535,2011,4535 MANDEVILLE WAY,2011/05/05 00:00:00.000,Housing,Invalid Complaint,2011/05/08 00:00:00.000,Y,4535 MANDEVILLE WAY,Block Level,MANDEVILLE WAY,,-84.522454049079585,37.958247583412749
15291529-7,2011,1529 PORT ROYAL DR,2011/05/09 00:00:00.000,Housing,Invalid Complaint,2011/05/10 00:00:00.000,Y,1529 PORT ROYAL DR,Block Level,PORT ROYAL DR,,-84.547018190792741,38.04610208340074
09391692#1-4,2011,1692 HILL RISE DR#1,2011/05/20 00:00:00.000,Housing,Invalid Complaint,2011/05/24 00:00:00.000,Y,1692 HILL RISE DR,Block Level,HILL RISE DR,,-84.533439359185806,38.046910749121196
03641333#24-3,2011,1333 CENTRE PKWY#24,2011/05/25 00:00:00.000,Housing,Invalid Complaint,2011/05/26 00:00:00.000,Y,1333 CENTRE PKWY,Block Level,CENTRE PKWY,,-84.475495241914629,37.981956561309246
00231553-2,2011,1553 ALEXANDRIA DR,2011/06/06 00:00:00.000,Housing,Invalid Complaint,2011/06/07 00:00:00.000,Y,1553 ALEXANDRIA DR,Block Level,ALEXANDRIA DR,,-84.551907932569549,38.045381498809874
35031996,2011,1996 PAVILION WAY,2011/06/07 00:00:00.000,Housing,Invalid Complaint,2011/06/14 00:00:00.000,Y,1996 PAVILION WAY,Block Level,PAVILION WAY,,-84.418825607884571,38.024709486780438
21030388,2011,388 WOODLAND AVE,2011/06/13 00:00:00.000,Housing,Invalid Complaint,2011/06/14 00:00:00.000,Y,388 WOODLAND AVE,Block Level,WOODLAND AVE,,-84.49470704428731,38.03545623444392
20671053#136-3,2011,1053 WINBURN DR #136,2011/06/16 00:00:00.000,Housing,Invalid Complaint,2011/06/30 00:00:00.000,Y,1053 WINBURN DR,Block Level,WINBURN DR,,-84.47796495459157,38.088652112049594
03641333#47,2011,1333 CENTRE PKWY#47,2011/06/22 00:00:00.000,Housing,Invalid Complaint,2011/06/23 00:00:00.000,Y,1333 CENTRE PKWY,Block Level,CENTRE PKWY,,-84.475495241914629,37.981956561309246
09391695,2011,1695 HILL RISE DR,2011/07/08 00:00:00.000,Housing,Invalid Complaint,2011/07/08 00:00:00.000,Y,1695 HILL RISE DR,Block Level,HILL RISE DR,,-84.533439359185806,38.046910749121196
19450334-2,2011,334 S UPPER ST,2011/08/10 00:00:00.000,Housing,Invalid Complaint,2011/08/11 00:00:00.000,Y,334 S UPPER ST,Block Level,S UPPER ST,,-84.501380711898307,38.04478412963865
03641333#24-4,2011,1333 CENTRE PKWY #24,2011/08/22 00:00:00.000,Housing,Invalid Complaint,2011/08/23 00:00:00.000,Y,1333 CENTRE PKWY,Block Level,CENTRE PKWY,,-84.475495241914629,37.981956561309246
41111147,2011,1147 MOUNTAIN LAUREL WAY,2011/08/31 00:00:00.000,Housing,Invalid Complaint,2011/09/01 00:00:00.000,Y,1147 MOUNTAIN LAUREL WAY,Block Level,MOUNTAIN LAUREL WAY,,-84.528276486473231,38.104485036768175
19450345,2011,345 S UPPER ST,2011/09/12 00:00:00.000,Housing,Invalid Complaint,2011/09/15 00:00:00.000,Y,345 S UPPER ST,Block Level,S UPPER ST,,-84.501380711898307,38.04478412963865
22491508-4,2011,1508 CONTINENTAL SQ,2011/10/12 00:00:00.000,Housing,Invalid Complaint,2011/10/13 00:00:00.000,Y,1508 CONTINENTAL SQ,Block Level,CONTINENTAL SQ,,-84.451719778366396,38.047440538554248
17010140-142,2011,140-142 SHAWNEE AVE,2011/05/04 00:00:00.000,Housing,Invalid Complaint,2011/05/05 00:00:00.000,Y,140 SHAWNEE AVE,Block Level,SHAWNEE AVE,,-84.467821075443197,38.057656174432019
33240439,2011,439 FAIRDALE DR,2011/10/18 00:00:00.000,Housing,Invalid Complaint,2011/10/20 00:00:00.000,Y,439 FAIRDALE DR,Block Level,FAIRDALE DR,,-84.51640245720543,38.072239365699794
12781760-2,2011,1760 MCCULLOUGH DR,2011/10/19 00:00:00.000,Housing,Invalid Complaint,2011/11/04 00:00:00.000,Y,1760 MCCULLOUGH DR,Block Level,MCCULLOUGH DR,,-84.472850039602946,38.087482093696778
12781750#29-2,2011,1750 MCCULLOUGH DR #29,2011/10/19 00:00:00.000,Housing,Invalid Complaint,2011/11/04 00:00:00.000,Y,1750 MCCULLOUGH DR,Block Level,MCCULLOUGH DR,,-84.474084320835885,38.08500306675527
18010208,2011,208 STONE AVE,2011/10/24 00:00:00.000,Housing,Invalid Complaint,2011/10/24 00:00:00.000,Y,208 STONE AVE,Block Level,STONE AVE,,-84.495935342049108,38.04190284561551
03041954#2,2011,1954 CAMBRIDGE DR #2,2011/11/01 00:00:00.000,Housing,Invalid Complaint,2011/11/11 00:00:00.000,Y,1954 CAMBRIDGE DR,Block Level,CAMBRIDGE DR,,-84.544533582545441,38.050138997908228
12781760-5,2011,1760 MCCULLOUGH DR,2011/11/01 00:00:00.000,Housing,Invalid Complaint,2011/11/04 00:00:00.000,Y,1760 MCCULLOUGH DR,Block Level,MCCULLOUGH DR,,-84.472850039602946,38.087482093696778
03641333#33,2011,1333 CENTRE PKWY #33,2011/11/10 00:00:00.000,Housing,Invalid Complaint,2011/11/11 00:00:00.000,Y,1333 CENTRE PKWY,Block Level,CENTRE PKWY,,-84.475495241914629,37.981956561309246
11253994,2011,3994 LANSDOWNE DR,2011/05/17 00:00:00.000,Housing,Invalid Complaint,2011/05/19 00:00:00.000,Y,3994 LANSDOWNE DR,Block Level,LANSDOWNE DR,,-84.518268544672139,37.983964805712823
12781760#5,2011,1760 MCCULLOUGH DR #5,2011/12/05 00:00:00.000,Housing,Invalid Complaint,2011/12/27 00:00:00.000,Y,1760 MCCULLOUGH DR,Block Level,MCCULLOUGH DR,,-84.472850039602946,38.087482093696778
09510440#E12,2011,440 HOLLOW CREEK RD #E12,2011/12/06 00:00:00.000,Housing,Invalid Complaint,2011/12/07 00:00:00.000,Y,440 HOLLOW CREEK RD,Block Level,HOLLOW CREEK RD,,-84.476692557782755,38.073781660142522
14680218#517,2011,218 PATCHEN DR #517,2011/12/16 00:00:00.000,Housing,Invalid Complaint,2011/12/19 00:00:00.000,Y,218 PATCHEN DR,Block Level,PATCHEN DR,,-84.457275850333943,38.007209002736239
30083826,2011,3826 SUGAR CREEK DR,2011/12/19 00:00:00.000,Housing,Invalid Complaint,2011/12/20 00:00:00.000,Y,3826 SUGAR CREEK DR,Block Level,SUGAR CREEK DR,,-84.499384586918765,37.977033578979352
20671053#38-3,2011,1053 WINBURN DR #38,2011/12/22 00:00:00.000,Housing,Invalid Complaint,2011/12/27 00:00:00.000,Y,1053 WINBURN DR,Block Level,WINBURN DR,,-84.47796495459157,38.088652112049594
07840520#1,2011,520 GEORGETOWN ST #1,2011/12/29 00:00:00.000,Housing,Invalid Complaint,2011/12/29 00:00:00.000,Y,520 GEORGETOWN ST,Block Level,GEORGETOWN ST,,-84.502110604102128,38.063042909102769
13972387,2011,2387 NICHOLASVILLE RD,2011/06/07 00:00:00.000,Housing,Invalid Complaint,2011/06/08 00:00:00.000,Y,2387 NICHOLASVILLE RD,Block Level,NICHOLASVILLE RD,,-84.519076196663221,38.0046203684158
20671053#52-3,2012,1053 WINBURN DR #52,2012/01/18 00:00:00.000,Housing,Invalid Complaint,2012/02/02 00:00:00.000,Y,1053 WINBURN DR,Block Level,WINBURN DR,,-84.47796495459157,38.088652112049594
17350534,2012,534 SMITH ST,2012/01/25 00:00:00.000,Housing,Invalid Complaint,2012/01/30 00:00:00.000,Y,534 SMITH ST,Block Level,SMITH ST,,-84.49235246968388,38.058365529811198
20671053-3,2012,1053 WINBURN DR,2012/01/27 00:00:00.000,Housing,Invalid Complaint,2012/01/30 00:00:00.000,Y,1053 WINBURN DR,Block Level,WINBURN DR,,-84.47796495459157,38.088652112049594
09391692#7-2,2012,1692 HILL RISE DR#7,2012/01/30 00:00:00.000,Housing,Invalid Complaint,2012/02/01 00:00:00.000,Y,1692 HILL RISE DR,Block Level,HILL RISE DR,,-84.533439359185806,38.046910749121196
35901275,2012,1275 DEER HAVEN LN,2012/02/14 00:00:00.000,Housing,Invalid Complaint,2012/02/21 00:00:00.000,Y,1275 DEER HAVEN LN,Block Level,DEER HAVEN LN,,-84.391775136776147,38.003606241087503
18323453,2012,3453 SUTHERLAND DR,2012/02/28 00:00:00.000,Housing,Invalid Complaint,2012/03/19 00:00:00.000,Y,3453 SUTHERLAND DR,Block Level,SUTHERLAND DR,,-84.482267723322067,37.987573445640201
09631152,2012,1152 HORSEMANS LN,2012/03/05 00:00:00.000,Housing,Invalid Complaint,2012/03/06 00:00:00.000,Y,1152 HORSEMANS LN,Block Level,HORSEMANS LN,,-84.526099185868048,38.042934508196723
07030530,2011,530 W FIFTH ST,2011/06/20 00:00:00.000,Housing,Invalid Complaint,2011/06/21 00:00:00.000,Y,530 W FIFTH ST,Block Level,W FIFTH ST,,-84.494210494976315,38.057633187789321
03641317#76-2,2012,1317 CENTRE PKWY #76,2012/03/26 00:00:00.000,Housing,Invalid Complaint,2012/03/27 00:00:00.000,Y,1317 CENTRE PKWY,Block Level,CENTRE PKWY,,-84.476330888570672,37.980774816397123
18690696-2,2012,696 TENNESSEE AVE,2012/04/06 00:00:00.000,Housing,Invalid Complaint,2012/04/06 00:00:00.000,Y,696 TENNESSEE AVE,Block Level,TENNESSEE AVE,,-84.471469445833051,38.042256346611019
22491508#28,2012,1508 CONTINENTAL SQ #28,2012/04/26 00:00:00.000,Housing,Invalid Complaint,2012/05/03 00:00:00.000,Y,1508 CONTINENTAL SQ,Block Level,CONTINENTAL SQ,,-84.451719778366396,38.047440538554248
15120526,2012,526 PINE ST,2012/04/30 00:00:00.000,Housing,Invalid Complaint,2012/05/03 00:00:00.000,Y,526 PINE ST,Block Level,PINE ST,,-84.506860783374961,38.046680159791642
10111754#H1,2012,1754 JENNIFER RD #H1,2012/04/30 00:00:00.000,Housing,Invalid Complaint,2012/05/03 00:00:00.000,Y,1754 JENNIFER RD,Block Level,JENNIFER RD,,-84.448870535902515,38.04430165327183
18323455,2012,3455 SUTHERLAND DR,2012/05/03 00:00:00.000,Housing,Invalid Complaint,2012/05/07 00:00:00.000,Y,3455 SUTHERLAND DR,Block Level,SUTHERLAND DR,,-84.482267723322067,37.987573445640201
07830651,2011,651 GEORGETOWN RD,2011/07/06 00:00:00.000,Housing,Invalid Complaint,2011/07/07 00:00:00.000,Y,651 GEORGETOWN RD,Block Level,GEORGETOWN RD,,-84.50643559385378,38.075892560784588
16360490-3,2012,490 ROSEMILL DR,2012/05/22 00:00:00.000,Housing,Invalid Complaint,2012/05/30 00:00:00.000,Y,490 ROSEMILL DR,Block Level,ROSEMILL DR,,-84.529544198640664,38.020733230664433
19602185,2012,2185 VERSAILLES RD,2012/06/14 00:00:00.000,Housing,Invalid Complaint,2012/06/15 00:00:00.000,Y,2185 VERSAILLES RD,Block Level,VERSAILLES RD,,-84.547672492378524,38.0471927008793
00231493,2012,1493 ALEXANDRIA DR,2012/06/29 00:00:00.000,Housing,Invalid Complaint,2012/06/29 00:00:00.000,Y,1493 ALEXANDRIA DR,Block Level,ALEXANDRIA DR,,-84.552062494718655,38.047748595488578
10111724#1,2012,1724 JENNIFER RD #1,2012/07/03 00:00:00.000,Housing,Invalid Complaint,2012/07/10 00:00:00.000,Y,1724 JENNIFER RD,Block Level,JENNIFER RD,,-84.448870535902515,38.04430165327183
02510350,2012,350 S BROADWAY,2012/07/05 00:00:00.000,Housing,Invalid Complaint,2012/07/06 00:00:00.000,Y,350 S BROADWAY,Block Level,S BROADWAY,,-84.502900446430502,38.046825679756118
02510350,2012,350 S BROADWAY,2012/07/05 00:00:00.000,Housing,Invalid Complaint,2012/07/06 00:00:00.000,Y,350 S BROADWAY,Block Level,S BROADWAY PARK,,-84.512959963519947,38.038231498218813
20872234,2012,2234 WINTERBERRY DR,2012/07/09 00:00:00.000,Housing,Invalid Complaint,2012/07/10 00:00:00.000,Y,2234 WINTERBERRY DR,Block Level,WINTERBERRY DR,,-84.554491339070267,38.02763596724818
13080531#C,2012,531 MICHIGAN ST #C,2012/07/16 00:00:00.000,Housing,Invalid Complaint,2012/07/17 00:00:00.000,Y,531 MICHIGAN ST,Block Level,MICHIGAN ST,,-84.501099660928844,38.06323158825969
09771417,2011,1417 HUNTSVILLE DR,2011/07/11 00:00:00.000,Housing,Invalid Complaint,2011/07/18 00:00:00.000,Y,1417 HUNTSVILLE DR,Block Level,HUNTSVILLE DR,,-84.436497983429874,38.058007263841496
12781750#29-3,2012,1750 MCCULLOUGH DR #29,2012/07/26 00:00:00.000,Housing,Invalid Complaint,2012/07/30 00:00:00.000,Y,1750 MCCULLOUGH DR,Block Level,MCCULLOUGH DR,,-84.474084320835885,38.08500306675527
03641333#36,2012,1333 CENTRE PKWY #36,2012/08/23 00:00:00.000,Housing,Invalid Complaint,2012/08/23 00:00:00.000,Y,1333 CENTRE PKWY,Block Level,CENTRE PKWY,,-84.475495241914629,37.981956561309246
09391701#10-2,2012,1701 HILL RISE DR #10,2012/08/23 00:00:00.000,Housing,Invalid Complaint,2012/08/31 00:00:00.000,Y,1701 HILL RISE DR,Block Level,HILL RISE DR,,-84.535034633846664,38.046821758543686
20671053#64-4,2012,1053 WINBURN DR #64,2012/09/06 00:00:00.000,Housing,Invalid Complaint,2012/09/13 00:00:00.000,Y,1053 WINBURN DR,Block Level,WINBURN DR,,-84.47796495459157,38.088652112049594
04590102-2,2012,102 CONN TER,2012/09/12 00:00:00.000,Housing,Invalid Complaint,2012/09/14 00:00:00.000,Y,102 CONN TER,Block Level,CONN TER,,-84.510985539802618,38.031039402349542
04590106-4,2012,106 CONN TER,2012/09/12 00:00:00.000,Housing,Invalid Complaint,2012/09/14 00:00:00.000,Y,106 CONN TER,Block Level,CONN TER,,-84.510985539802618,38.031039402349542
19450334-3,2012,334 S UPPER ST,2012/09/12 00:00:00.000,Housing,Invalid Complaint,2012/09/24 00:00:00.000,Y,334 S UPPER ST,Block Level,S UPPER ST,,-84.501380711898307,38.04478412963865
05581104,2011,1104 DEVONIA AVE,2011/09/09 00:00:00.000,Housing,Invalid Complaint,2011/09/13 00:00:00.000,Y,1104 DEVONIA AVE,Block Level,DEVONIA AVE,,-84.474226580738446,38.058013233972893
09391692#8-3,2012,1692 HILL RISE DR #8,2012/09/17 00:00:00.000,Housing,Invalid Complaint,2012/09/24 00:00:00.000,Y,1692 HILL RISE DR,Block Level,HILL RISE DR,,-84.533439359185806,38.046910749121196
02120514,2012,514 BOOKER ST,2012/09/18 00:00:00.000,Housing,Invalid Complaint,2012/09/18 00:00:00.000,Y,514 BOOKER ST,Block Level,BOOKER ST,,-84.501104550268821,38.062005611996483
12781760#19,2012,1760 MCCULLOUGH DR #19,2012/09/21 00:00:00.000,Housing,Invalid Complaint,2012/10/08 00:00:00.000,Y,1760 MCCULLOUGH DR,Block Level,MCCULLOUGH DR,,-84.472850039602946,38.087482093696778
13080507#A,2012,507 MICHIGAN ST #A,2012/09/26 00:00:00.000,Housing,Invalid Complaint,2012/09/27 00:00:00.000,Y,507 MICHIGAN ST,Block Level,MICHIGAN ST,,-84.501099660928844,38.06323158825969
06152222,2012,2222 EASTWAY DR,2012/10/01 00:00:00.000,Housing,Invalid Complaint,2012/10/01 00:00:00.000,Y,2222 EASTWAY DR,Block Level,EASTWAY DR,,-84.524978774829691,38.013848139969745
09391695#2-2,2012,1695 HILL RISE DR #2,2012/10/02 00:00:00.000,Housing,Invalid Complaint,2012/10/03 00:00:00.000,Y,1695 HILL RISE DR,Block Level,HILL RISE DR,,-84.533439359185806,38.046910749121196
07030172,2011,172 W FIFTH ST,2011/09/21 00:00:00.000,Housing,Invalid Complaint,2011/09/22 00:00:00.000,Y,172 W FIFTH ST,Block Level,W FIFTH ST,,-84.489719001800765,38.053580765942513
07702070-2,2012,2070 GARDEN SPRINGS DR,2012/12/10 00:00:00.000,Housing,Invalid Complaint,2012/12/10 00:00:00.000,Y,2070 GARDEN SPRINGS DR,Block Level,GARDEN SPRINGS DR,,-84.543305239171033,38.027086114141014
00430472,2012,472 ANNISTON DR,2012/12/10 00:00:00.000,Housing,Invalid Complaint,2012/12/12 00:00:00.000,Y,472 ANNISTON DR,Block Level,ANNISTON DR,,-84.444889446650933,38.064409282133944
09391692#1-5,2012,1692 HILL RISE DR #1,2012/12/12 00:00:00.000,Housing,Invalid Complaint,2012/12/14 00:00:00.000,Y,1692 HILL RISE DR,Block Level,HILL RISE DR,,-84.533439359185806,38.046910749121196
05580208,2013,208 DEVONIA AVE,2013/01/04 00:00:00.000,Housing,Invalid Complaint,2013/01/09 00:00:00.000,Y,208 DEVONIA AVE,Block Level,DEVONIA AVE,,-84.474226580738446,38.058013233972893
20671053#21,2013,1053 WINBURN DR #21,2013/01/11 00:00:00.000,Housing,Invalid Complaint,2013/01/14 00:00:00.000,Y,1053 WINBURN DR,Block Level,WINBURN DR,,-84.47796495459157,38.088652112049594
00231685-6,2013,1685 ALEXANDRIA DR,2013/01/30 00:00:00.000,Housing,Invalid Complaint,2013/02/04 00:00:00.000,Y,1685 ALEXANDRIA DR,Block Level,ALEXANDRIA DR,,-84.551940189959993,38.042220187316268
12781760#5-4,2013,1760 MCCULLOUGH DR #5,2013/02/01 00:00:00.000,Housing,Invalid Complaint,2013/02/08 00:00:00.000,Y,1760 MCCULLOUGH DR,Block Level,MCCULLOUGH DR,,-84.472850039602946,38.087482093696778
02350257,2011,257 BREATHITT AVE,2011/10/03 00:00:00.000,Housing,Invalid Complaint,2011/10/03 00:00:00.000,Y,257 BREATHITT AVE,Block Level,BREATHITT AVE,,-84.50760065076625,38.066656466820447
05672216-2,2013,2216 DINSMORE DR,2013/02/27 00:00:00.000,Housing,Invalid Complaint,2013/02/27 00:00:00.000,Y,2216 DINSMORE DR,Block Level,DINSMORE DR,,-84.466448150866995,38.01685469040639
10111752#G3,2013,1752 JENNIFER RD #G3,2013/03/05 00:00:00.000,Housing,Invalid Complaint,2013/03/25 00:00:00.000,Y,1752 JENNIFER RD,Block Level,JENNIFER RD,,-84.448870535902515,38.04430165327183
10111742,2013,1742 JENNIFER RD,2013/03/18 00:00:00.000,Housing,Invalid Complaint,2013/03/25 00:00:00.000,Y,1742 JENNIFER RD,Block Level,JENNIFER RD,,-84.448870535902515,38.04430165327183
12951205,2013,1205 MENIFEE AVE,2013/04/05 00:00:00.000,Housing,Invalid Complaint,2013/04/10 00:00:00.000,Y,1205 MENIFEE AVE,Block Level,MENIFEE AVE,,-84.474032933752397,38.035568662696676
12781760#6,2013,1760 MCCULLOUGH DR #6,2013/04/08 00:00:00.000,Housing,Invalid Complaint,2013/04/22 00:00:00.000,Y,1760 MCCULLOUGH DR,Block Level,MCCULLOUGH DR,,-84.472850039602946,38.087482093696778
13841205,2013,1205 E NEW CIRCLE RD,2013/04/15 00:00:00.000,Housing,Invalid Complaint,2013/04/17 00:00:00.000,Y,1205 E NEW CIRCLE RD,Block Level,E NEW CIRCLE RD,,-84.453243600633186,38.03267003936795
06760104BRDUP,2013,104 FAIRLAWN AVE,2013/04/19 00:00:00.000,Housing,Invalid Complaint,2014/03/03 00:00:00.000,Y,104 FAIRLAWN AVE,Block Level,FAIRLAWN AVE,,-84.477808180947562,38.062110042726196
43512510,2013,2510 LINDENHURST LOOP,2013/04/19 00:00:00.000,Housing,Invalid Complaint,2013/04/23 00:00:00.000,Y,2510 LINDENHURST LOOP,Block Level,LINDENHURST LOOP,,-84.427082295644709,38.004591330024404
17190616#104,2013,616 SHROPSHIRE AVE #104,2013/05/23 00:00:00.000,Housing,Invalid Complaint,2013/05/24 00:00:00.000,Y,616 SHROPSHIRE AVE,Block Level,SHROPSHIRE AVE,,-84.478990775412299,38.048347684609212
15823727,2013,3727 RED RIVER DR,2013/06/04 00:00:00.000,Housing,Invalid Complaint,2013/06/10 00:00:00.000,Y,3727 RED RIVER DR,Block Level,RED RIVER DR,,-84.484215951290182,37.96968360913386
00771558,2011,1558 ASTAIRE CT,2011/11/08 00:00:00.000,Housing,Invalid Complaint,2011/11/14 00:00:00.000,Y,1558 ASTAIRE CT,Block Level,ASTAIRE CT,,-84.48445814381455,38.078370229062486
07252010,2013,2010 FORDSON CT,2013/06/11 00:00:00.000,Housing,Invalid Complaint,2013/06/12 00:00:00.000,Y,2010 FORDSON CT,Block Level,FORDSON CT,,-84.439814928780905,38.061221538712886
15671788,2013,1788 RALEIGH RD,2013/06/14 00:00:00.000,Housing,Invalid Complaint,2013/06/17 00:00:00.000,Y,1788 RALEIGH RD,Block Level,RALEIGH RD,,-84.447544756096448,38.052844074914468
05151814#3-2,2013,1814 DALTON CT #3,2013/06/17 00:00:00.000,Housing,Invalid Complaint,2013/07/03 00:00:00.000,Y,1814 DALTON CT,Block Level,DALTON CT,,-84.440919578078109,38.0562376075111
10010723,2013,723 JACKSON ST,2013/06/21 00:00:00.000,Housing,Invalid Complaint,2014/03/04 00:00:00.000,Y,723 JACKSON ST,Block Level,JACKSON ST,,-84.474754677109885,38.04858470849215
10010725,2013,725 JACKSON ST,2013/06/21 00:00:00.000,Housing,Invalid Complaint,2014/03/04 00:00:00.000,Y,725 JACKSON ST,Block Level,JACKSON ST,,-84.474754677109885,38.04858470849215
14680219#814-3,2013,219 PATCHEN DR #814,2013/06/26 00:00:00.000,Housing,Invalid Complaint,2013/06/27 00:00:00.000,Y,219 PATCHEN DR,Block Level,PATCHEN DR,,-84.457275850333943,38.007209002736239
32690659,2011,659 SHERARD CIR,2011/11/18 00:00:00.000,Housing,Invalid Complaint,2011/11/21 00:00:00.000,Y,659 SHERARD CIR,Block Level,SHERARD CIR,,-84.500184278504761,37.981175578080254
09391700#9,2013,1700 HILL RISE DR #9,2013/07/08 00:00:00.000,Housing,Invalid Complaint,2013/07/09 00:00:00.000,Y,1700 HILL RISE DR,Block Level,HILL RISE DR,,-84.535034633846664,38.046821758543686
09391706#11-3,2013,1706 HILL RISE DR #11,2013/07/10 00:00:00.000,Housing,Invalid Complaint,2013/07/16 00:00:00.000,Y,1706 HILL RISE DR,Block Level,HILL RISE DR,,-84.535034633846664,38.046821758543686
05100729,2013,729 DAKOTA ST,2013/07/12 00:00:00.000,Housing,Invalid Complaint,2013/07/17 00:00:00.000,Y,729 DAKOTA ST,Block Level,DAKOTA ST,,-84.48523068907987,38.05788057276979
07252010-2,2013,2010 FORDSON CT,2013/07/16 00:00:00.000,Housing,Invalid Complaint,2013/07/18 00:00:00.000,Y,2010 FORDSON CT,Block Level,FORDSON CT,,-84.439814928780905,38.061221538712886
00921788#1-3,2013,1788 AUGUSTA CT,2013/07/24 00:00:00.000,Housing,Invalid Complaint,2013/08/05 00:00:00.000,Y,1788 AUGUSTA CT,Block Level,AUGUSTA CT,,-84.442924619411812,38.054048245343488
12840296,2011,296 MEADOW LN,2011/12/19 00:00:00.000,Housing,Invalid Complaint,2011/12/19 00:00:00.000,Y,296 MEADOW LN,Block Level,MEADOW LN,,-84.468484385521947,38.049213661648707
16800341,2013,341 SCOTT ST,2013/07/29 00:00:00.000,Housing,Invalid Complaint,2013/08/12 00:00:00.000,Y,341 SCOTT ST,Block Level,SCOTT ST,,-84.508514591095917,38.040682350493377
05941127,2013,1127 DUNBARTON LN,2013/08/12 00:00:00.000,Housing,Invalid Complaint,2013/08/16 00:00:00.000,Y,1127 DUNBARTON LN,Block Level,DUNBARTON LN,,-84.480976795084899,37.994014296045009
14680219#1207,2013,219 PATCHEN DR #1207,2013/08/13 00:00:00.000,Housing,Invalid Complaint,2013/08/21 00:00:00.000,Y,219 PATCHEN DR,Block Level,PATCHEN DR,,-84.457275850333943,38.007209002736239
