PermitNo,Address,SubmitDate,IssueDate,StartDate,CompleteDate,Name,PermitType,TypeOfWork,LaneBlockage,CleanAddress,MatchAddress,MatchType,parcelId,lat,lng
 20738,859 WHITNEY AVE,2011/01/07 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/01/06 00:00:00.000000000,2011/01/27 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,859 WHITNEY AVE,859 WHITNEY AVE,Exact Parcel,15949400,-84.50497492,38.06173153
 20739,2204 LAKESIDE DR,2011/01/07 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/01/06 00:00:00.000000000,2011/01/27 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,2204 LAKESIDE DR,2204 LAKESIDE DR,Exact Parcel,13574250,-84.47719765,38.00582759
 20740,116 DESHA RD,2011/01/07 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/01/20 00:00:00.000000000,2011/02/10 00:00:00.000000000,Kentucky American Water,Street Cut,New Construction,Yes,116 DESHA RD,116 DESHA RD,Exact Parcel,17197100,-84.48298986,38.0321639
 20741,2089 LAKESIDE PL,2011/01/07 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/01/20 00:00:00.000000000,2011/02/10 00:00:00.000000000,Kentucky American Water,Installation,New Construction,No,2089 LAKESIDE PL,2089 LAKESIDE PL,Exact Parcel,14018150,-84.47186193,38.00264659
 20769,1123 DELAWARE AVE,2011/01/10 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/06/07 00:00:00.000000000,Columbia Gas,Street Cut,Repair,Yes,1123 DELAWARE AVE,1123 DELAWARE AVE,Exact Parcel,46279300,-84.46900832,38.03784781
 20784,4624 SARON DR,2011/01/10 00:00:00.000000000,2011/01/14 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/01/14 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,4624 SARON DR,4624 SARON DR,Exact Parcel,20038510,-84.49294108,37.95374852
 20785,924 WITTHUHN WAY,2011/01/10 00:00:00.000000000,2011/01/14 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/01/28 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,924 WITTHUHN WAY,924 WITTHUHN WAY,Exact Parcel,26166712,-84.56748784,37.99558926
 20770,803 S BROADWAY,2011/01/10 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/01/07 00:00:00.000000000,2011/01/28 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,803 S BROADWAY,803 S BROADWAY,Exact Parcel,16179050,-84.51270498,38.04146529
 20786,277 BIG RUN RD,2011/01/10 00:00:00.000000000,2011/01/14 00:00:00.000000000,2011/01/09 00:00:00.000000000,2011/01/30 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,277 BIG RUN RD,277 BIG RUN RD,Exact Parcel,16327554,-84.53000414,38.00040734
 20743,2140 FT HARRODS DR,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/01/14 00:00:00.000000000,2011/02/04 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,2140 FT HARRODS DR,2140 FT HARRODS DR,Exact Parcel,20002470,-84.57048098,38.01355863
 20744,918 GEORGETOWN ST,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/06/01 00:00:00.000000000,2011/06/22 00:00:00.000000000,Columbia Gas,Street Cut,Repair,No,918 GEORGETOWN ST,918 GEORGETOWN ST,Exact Parcel,21686700,-84.50469097,38.07258123
 20745,1034 MARCELLUS DR,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/02/17 00:00:00.000000000,2011/03/10 00:00:00.000000000,Columbia Gas,Installation,Repair,No,1034 MARCELLUS DR,1034 MARCELLUS DR,Exact Parcel,12885100,-84.46410157,38.05527591
 20746,1380 HIGBEE MILL RD,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/01/24 00:00:00.000000000,2011/02/14 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,1380 HIGBEE MILL RD,1380 HIGBEE MILL RD,Exact Parcel,4023460,-84.56198461,37.98716819
 20771,440 TIBBS LN,2011/01/10 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/04/04 00:00:00.000000000,2011/04/25 00:00:00.000000000,Columbia Gas,Street Cut,Repair,Yes,440 TIBBS LN,440 TIBBS LN,Exact Parcel,14141400,-84.50798799,38.06930293
 20772,107 TRAFTON ST,2011/01/10 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/05/17 00:00:00.000000000,2011/06/07 00:00:00.000000000,Columbia Gas,Street Cut,Repair,Yes,107 TRAFTON ST,107 TRAFTON ST,Exact Parcel,27171700,-84.52631792,38.05066267
 20773,917 GEORGETOWN ST,2011/01/10 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/03/07 00:00:00.000000000,2011/04/28 00:00:00.000000000,Columbia Gas,Street Cut,Repair,No,917 GEORGETOWN ST,917 GEORGETOWN ST,Exact Parcel,26185825,-84.50604824,38.07243646
 20774,3390  MONTAVESTA RD,2011/01/10 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/04/04 00:00:00.000000000,2011/04/25 00:00:00.000000000,Columbia Gas,Street Cut,Repair,Yes,3390 MONTAVESTA RD,3390 MONTAVESTA RD,Exact Parcel,10123166,-84.49006165,37.99718183
 20747,1009 WATERMILL LN,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/02/02 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,1009 WATERMILL LN,1009 WATERMILL LN,Exact Parcel,20041580,-84.4989017,37.9553223
 20748,1049 TURNBRIDGE RD,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/01/25 00:00:00.000000000,2011/02/15 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,1049 TURNBRIDGE RD,1049 TURNBRIDGE RD,Exact Parcel,20025620,-84.49038984,37.95708307
 20749,1037 TURNBRIDGE RD,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/01/31 00:00:00.000000000,2011/02/21 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,1037 TURNBRIDGE RD,1037 TURNBRIDGE RD,Exact Parcel,20025590,-84.4912164,37.95673602
 20750,1034 ROCKBRIDGE RD,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/01/19 00:00:00.000000000,2011/02/09 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,1034 ROCKBRIDGE RD,1034 ROCKBRIDGE RD,Exact Parcel,20028990,-84.49383385,37.95493413
 20751,1038 ROCKBRIDGE RD,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/02/02 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,1038 ROCKBRIDGE RD,1038 ROCKBRIDGE RD,Exact Parcel,20025820,-84.49370105,37.95514128
 20752,1054 ROCKBRIDGE RD,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/02/02 00:00:00.000000000,2011/02/23 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,1054 ROCKBRIDGE RD,1054 ROCKBRIDGE RD,Exact Parcel,20025780,-84.49319154,37.955913
 20753,1083 ROCKBRIDGE RD,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/02/16 00:00:00.000000000,2011/03/09 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,1083 ROCKBRIDGE RD,1083 ROCKBRIDGE RD,Exact Parcel,20018840,-84.49208591,37.95732446
 20754,4694 IRONBRIDGE DR,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/03/21 00:00:00.000000000,2011/04/11 00:00:00.000000000,Columbia Gas,Installation,Repair,No,4694 IRONBRIDGE DR,4694 IRONBRIDGE DR,Exact Parcel,20018960,-84.49305125,37.95721649
 20755,4744 IRONBRIDGE DR,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/02/03 00:00:00.000000000,2011/02/24 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,4744 IRONBRIDGE DR,4744 IRONBRIDGE DR,Exact Parcel,20035350,-84.4927848,37.95424043
 20756,4733 IRONBRIDGE DR,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/03/23 00:00:00.000000000,2011/04/13 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,4733 IRONBRIDGE DR,4733 IRONBRIDGE DR,Exact Parcel,20035410,-84.49280192,37.95486727
 20757,973 DARDA CT,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/03/24 00:00:00.000000000,2011/04/14 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,973 DARDA CT,973 DARDA CT,Exact Parcel,20013140,-84.49447177,37.96182002
 20758,902 FAIRHAVEN DR,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/05/04 00:00:00.000000000,2011/05/25 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,902 FAIRHAVEN DR,902 FAIRHAVEN DR,Exact Parcel,20043350,-84.4982988,37.9584428
 20759,895 FAIRHAVEN DR,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/03/25 00:00:00.000000000,2011/04/15 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,895 FAIRHAVEN DR,895 FAIRHAVEN DR,Exact Parcel,20043490,-84.49893621,37.95821896
 20760,891 FAIRHAVEN DR,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/02/02 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,891 FAIRHAVEN DR,891 FAIRHAVEN DR,Exact Parcel,20043510,-84.49875475,37.95803249
 20761,3288 RIDGECANE RD,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/03/21 00:00:00.000000000,2011/04/11 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,3288 RIDGECANE RD,3288 RIDGECANE RD,Exact Parcel,20021320,-84.56634972,38.01828898
 20762,377 PLAINVIEW RD,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/02/16 00:00:00.000000000,2011/03/09 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,377 PLAINVIEW RD,377 PLAINVIEW RD,Exact Parcel,26805632,-84.45786391,38.00445403
 20763,3905 WYNDHAM CT,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/02/01 00:00:00.000000000,2011/02/22 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,3905 WYNDHAM CT,3905 WYNDHAM CT,Exact Parcel,20045580,-84.55844994,37.97424192
 20764,2101 RIDGECANE CT,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/01/31 00:00:00.000000000,2011/02/21 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,2101 RIDGECANE CT,2101 RIDGECANE CT,Exact Parcel,20021390,-84.56800622,38.01864974
 20765,2133 SALLEE DR,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/02/18 00:00:00.000000000,2011/03/11 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,2133 SALLEE DR,2133 SALLEE DR,Exact Parcel,20066050,-84.56735791,38.00702721
 20766,1116 TABORLAKE DR,2011/01/10 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/04/28 00:00:00.000000000,2011/05/19 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,1116 TABORLAKE DR,1116 TABORLAKE DR,Exact Parcel,20027460,-84.46938515,37.99423398
 20775,201 W SECOND ST,2011/01/10 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/07/11 00:00:00.000000000,LFUCG-San Sewers (Water Quality),Street Cut,Repair,Yes,201 W SECOND ST,201 W SECOND ST,Exact Parcel,11728900,-84.49524683,38.04925143
 20787,243 PEPPER DR,2011/01/11 00:00:00.000000000,2011/01/14 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/01/14 00:00:00.000000000,Columbia Gas,Installation,Repair,No,243 PEPPER DR,243 PEPPER DR,Exact Parcel,43069200,-84.5209051,38.06804607
 20776,1761 GETTYSBURG RD,2011/01/11 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/01/31 00:00:00.000000000,Columbia Gas,Installation,Repair,No,1761 GETTYSBURG RD,1761 GETTYSBURG RD,Exact Parcel,22693200,-84.54294394,38.03817122
 20777,2265 LIBERTY RD,2011/01/11 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/05/31 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,2265 LIBERTY RD,2265 LIBERTY RD,Exact Parcel,21905500,-84.44283812,38.02685684
 20778,1022 BRENTWOOD CT,2011/01/11 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/01/10 00:00:00.000000000,2011/01/31 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,1022 BRENTWOOD CT,1022 BRENTWOOD CT,Exact Parcel,14376882,-84.49868781,38.07805431
 20781,1301 HIGHLAND PARK DR,2011/01/12 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/01/11 00:00:00.000000000,2011/02/01 00:00:00.000000000,Kentucky American Water,Street Cut,Maintenance,Yes,1301 HIGHLAND PARK DR,1301 HIGHLAND PARK DR,Exact Parcel,10436000,-84.46765966,38.05108853
 20789,535 MCCUBBING DR,2011/01/12 00:00:00.000000000,2011/01/14 00:00:00.000000000,2011/01/11 00:00:00.000000000,2011/02/01 00:00:00.000000000,Kentucky American Water,Installation,Maintenance,No,535 MCCUBBING DR,535 MCCUBBING DR,Exact Parcel,23413700,-84.52834181,38.02894177
 20782,157 AVON AVE,2011/01/12 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/01/25 00:00:00.000000000,2011/02/15 00:00:00.000000000,Kentucky American Water,Street Cut,Repair,Yes,157 AVON AVE,157 AVON AVE,Exact Parcel,16145300,-84.47680707,38.05778147
 20790,227 IDLE HOUR DR,2011/01/12 00:00:00.000000000,2011/01/14 00:00:00.000000000,2011/01/11 00:00:00.000000000,2011/02/01 00:00:00.000000000,Columbia Gas,Installation,Repair,No,227 IDLE HOUR DR,227 IDLE HOUR DR,Exact Parcel,10153300,-84.46423942,38.02525263
 20791,1909 FONTAINE RD,2011/01/13 00:00:00.000000000,2011/01/14 00:00:00.000000000,2011/01/12 00:00:00.000000000,2011/01/14 00:00:00.000000000,Columbia Gas,Annual General Permit,Repair,No,1909 FONTAINE RD,1909 FONTAINE RD,Exact Parcel,12740200,-84.47505381,38.02132194
